param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt
h13_r30_t3,1704672000000000000,1,1704720735000000000,1704723905000000000,634,2078.6365,2075.2915000000003,2075.2915000000003,2088.6714999999995,3.3449999999998,0.16100149185088422,sl,-3.3449999999998,3.3449999999998,-6.8299999999995995,Monday,2024-01-08,13,30,3.0
h14_r15_t2,1704672000000000000,-1,1704723300000000000,1704724540000000000,248,2078.0155,2069.4554999999996,2082.2955,2069.4554999999996,4.2800000000002,0.20593452292598313,tp,8.5600000000004,4.2800000000002,16.9800000000008,Monday,2024-01-08,14,15,2.0
h02_r15_t3,1704758400000000000,1,1704766625000000000,1704780590000000000,2753,2075.536,2078.863,2074.427,2078.863,1.1089999999999236,0.05344488165259495,tp,3.326999999999771,1.1089999999999236,6.513999999999542,Tuesday,2024-01-09,2,15,3.0
h04_r30_t3,1704758400000000000,1,1704776260000000000,1704784445000000000,1626,2077.1215,2075.259,2075.259,2082.7090000000007,1.862500000000182,0.08968894909352434,sl,-1.862500000000182,1.862500000000182,-3.865000000000364,Tuesday,2024-01-09,4,30,3.0
h05_r60_t2,1704758400000000000,1,1704780315000000000,1704782890000000000,515,2078.3685,2076.433,2076.433,2082.2395,1.9355000000000473,0.09314392384479865,sl,-1.9355000000000473,1.9355000000000473,-4.011000000000094,Tuesday,2024-01-09,5,60,2.0
h06_r60_t3,1704758400000000000,-1,1704784330000000000,1704786880000000000,510,2075.662,2079.069,2079.069,2065.4559999999997,3.4020000000000437,0.16382662789468785,sl,-3.407000000000153,3.407000000000153,-6.954000000000305,Tuesday,2024-01-09,6,60,3.0
h13_r30_t3,1704758400000000000,-1,1704807620000000000,1704844735000000000,6480,2090.218,2084.258,2097.0705,2069.6605,6.852499999999964,0.32735628450019777,session_end,5.960000000000036,6.852499999999964,11.780000000000072,Tuesday,2024-01-09,13,30,3.0
h14_r15_t2,1704758400000000000,-1,1704809710000000000,1704814825000000000,1023,2086.246,2077.157,2090.7905,2077.157,4.544499999999971,0.2177864614408445,tp,9.088999999999942,4.544499999999971,18.037999999999883,Tuesday,2024-01-09,14,15,2.0
h00_r30_t1,1704844800000000000,1,1704847055000000000,1704848465000000000,282,2084.8095000000003,2086.1565000000005,2083.4625,2086.1565000000005,1.3470000000002074,0.06462745534553295,tp,1.3470000000002074,1.3470000000002074,2.5540000000004146,Wednesday,2024-01-10,0,30,1.0
h01_r60_t3,1704844800000000000,1,1704855130000000000,1704898860000000000,8745,2094.0355,2084.5744999999997,2084.5744999999997,2122.4185000000007,9.46100000000024,0.45234774023354835,sl,-9.46100000000024,9.46100000000024,-19.06200000000048,Wednesday,2024-01-10,1,60,3.0
h02_r15_t3,1704844800000000000,1,1704854520000000000,1704864700000000000,2035,2091.8845,2089.1975,2089.1975,2099.9455,2.686999999999898,0.12853455065645653,sl,-2.686999999999898,2.686999999999898,-5.513999999999796,Wednesday,2024-01-10,2,15,3.0
h04_r30_t3,1704844800000000000,-1,1704861750000000000,1704888160000000000,5282,2092.4355,2095.0115,2095.0115,2084.7075,2.576000000000022,0.1229975006583194,sl,-2.576000000000022,2.576000000000022,-5.292000000000043,Wednesday,2024-01-10,4,30,3.0
h05_r60_t2,1704844800000000000,-1,1704874200000000000,1704875610000000000,282,2087.8625,2091.4385,2091.4385,2080.7105,3.576000000000022,0.17112328126020726,sl,-3.576000000000022,3.576000000000022,-7.292000000000043,Wednesday,2024-01-10,5,60,2.0
h06_r60_t3,1704844800000000000,1,1704871630000000000,1704873845000000000,443,2091.0465,2088.4325,2088.4325,2098.8885,2.6140000000000327,0.12510633919181177,sl,-2.6140000000000327,2.6140000000000327,-5.368000000000065,Wednesday,2024-01-10,6,60,3.0
h13_r30_t3,1704844800000000000,1,1704893400000000000,1704897450000000000,810,2093.8865,2090.7955,2090.7955,2103.1594999999998,3.0909999999998945,0.14774462406258018,sl,-3.0909999999998945,3.0909999999998945,-6.321999999999789,Wednesday,2024-01-10,13,30,3.0
h14_r15_t2,1704844800000000000,-1,1704897220000000000,1704898850000000000,326,2093.8485,2085.1365000000005,2098.2045,2085.1365000000005,4.355999999999767,0.20766427037543644,tp,8.711999999999534,4.355999999999767,17.283999999999068,Wednesday,2024-01-10,14,15,2.0
h00_r30_t1,1704931200000000000,-1,1704933420000000000,1704935175000000000,351,2059.6144999999997,2056.8874999999994,2062.3415,2056.8874999999994,2.7270000000003165,0.13235657063981401,tp,2.7270000000003165,2.7270000000003165,5.314000000000633,Thursday,2024-01-11,0,30,1.0
h01_r60_t3,1704931200000000000,1,1704938435000000000,1704942990000000000,911,2060.5465,2056.0465,2056.0465,2074.0465,4.5,0.21842703893753201,sl,-4.5,4.5,-9.14,Thursday,2024-01-11,1,60,3.0
h02_r15_t3,1704931200000000000,-1,1704939420000000000,1704948005000000000,1716,2057.9375,2060.6645,2060.6645,2049.7565000000004,2.7269999999998618,0.13249644040319644,sl,-2.7269999999998618,2.7269999999998618,-5.593999999999723,Thursday,2024-01-11,2,15,3.0
h04_r30_t3,1704931200000000000,1,1704947490000000000,1704951310000000000,763,2058.8185000000003,2056.7835,2056.7835,2064.9235000000012,2.0350000000003092,0.09886052916860769,sl,-2.0350000000003092,2.0350000000003092,-4.210000000000618,Thursday,2024-01-11,4,30,3.0
h05_r60_t2,1704931200000000000,-1,1704953205000000000,1704976230000000000,4603,2055.2394999999997,2046.553499999999,2059.5825,2046.553499999999,4.343000000000302,0.21109541410646696,tp,8.686000000000604,4.343000000000302,17.232000000001207,Thursday,2024-01-11,5,60,2.0
h06_r60_t3,1704931200000000000,-1,1704957865000000000,1704991880000000000,6801,2050.5335,2057.6175000000003,2057.6175000000003,2029.2814999999991,7.084000000000287,0.3447211172584787,sl,-7.084000000000287,7.084000000000287,-14.308000000000575,Thursday,2024-01-11,6,60,3.0
h13_r30_t3,1704931200000000000,1,1704980220000000000,1705013265000000000,5787,2045.0445,2060.2185,2039.9865,2060.2185,5.057999999999993,0.24746389867189938,tp,15.173999999999978,5.057999999999993,30.207999999999956,Thursday,2024-01-11,13,30,3.0
h14_r15_t2,1704931200000000000,1,1704982520000000000,1704991880000000000,1872,2048.8135,2057.647500000001,2044.3964999999998,2057.647500000001,4.417000000000371,0.21565082045691764,tp,8.834000000000742,4.417000000000371,17.528000000001484,Thursday,2024-01-11,14,15,2.0
h00_r30_t1,1705017600000000000,1,1705019440000000000,1705026515000000000,1415,2069.3285,2102.0485000000003,2036.6084999999998,2102.0485000000003,32.720000000000255,1.583173842600501,tp,32.720000000000255,32.720000000000255,65.30000000000051,Friday,2024-01-12,0,30,1.0
h01_r60_t3,1705017600000000000,1,1705025260000000000,1705096675000000000,14282,2093.3925,2173.522,2053.5245,2212.9964999999997,39.86799999999994,1.9087767679633039,session_end,80.12950000000001,39.86799999999994,160.11900000000003,Friday,2024-01-12,1,60,3.0
h02_r15_t3,1705017600000000000,1,1705025880000000000,1705064415000000000,7707,2098.5575,2146.1674999999996,2082.6875,2146.1674999999996,15.86999999999989,0.7577195363443919,tp,47.60999999999967,15.86999999999989,95.07999999999934,Friday,2024-01-12,2,15,3.0
h04_r30_t3,1705017600000000000,1,1705033805000000000,1705039045000000000,1048,2112.0845,2139.0845,2103.0845,2139.0845,9.0,0.4262270781589168,tp,27.0,9.0,53.86,Friday,2024-01-12,4,30,3.0
h05_r60_t2,1705017600000000000,1,1705039200000000000,1705096675000000000,11494,2142.8715,2173.522,2103.3365,2221.941500000001,39.53500000000031,1.8451204882113819,session_end,30.650499999999738,39.53500000000031,61.160999999999476,Friday,2024-01-12,5,60,2.0
h13_r30_t3,1705017600000000000,1,1705066345000000000,1705069530000000000,637,2156.1735,2142.5455,2142.5455,2197.057499999999,13.627999999999702,0.6345349905678666,sl,-13.627999999999702,13.627999999999702,-27.395999999999404,Friday,2024-01-12,13,30,3.0
h14_r15_t2,1705017600000000000,-1,1705069355000000000,1705070240000000000,177,2148.0585,2158.1745,2158.1745,2127.8265,10.115999999999985,0.46977299181449744,sl,-10.115999999999985,10.115999999999985,-20.37199999999997,Friday,2024-01-12,14,15,2.0
h00_r30_t1,1705276800000000000,-1,1705288225000000000,1705363195000000000,14215,2178.174,2168.951,2191.863,2164.485,13.68899999999985,0.6278545619328073,session_end,9.222999999999956,13.68899999999985,18.305999999999912,Monday,2024-01-15,0,30,1.0
h01_r60_t3,1705276800000000000,-1,1705286560000000000,1705363195000000000,14548,2181.538,2168.951,2189.874,2156.5300000000007,8.335999999999785,0.38090520733424316,session_end,12.586999999999989,8.335999999999785,25.033999999999978,Monday,2024-01-15,1,60,3.0
h02_r15_t3,1705276800000000000,-1,1705285225000000000,1705325310000000000,8017,2184.871,2172.3970000000004,2189.029,2172.3970000000004,4.157999999999902,0.19020712357241282,tp,12.473999999999705,4.157999999999902,24.80799999999941,Monday,2024-01-15,2,15,3.0
h04_r30_t3,1705276800000000000,1,1705295305000000000,1705296330000000000,205,2179.407,2176.233,2176.233,2188.929,3.173999999999978,0.14577272865054033,sl,-3.173999999999978,3.173999999999978,-6.487999999999956,Monday,2024-01-15,4,30,3.0
h05_r60_t2,1705276800000000000,1,1705299000000000000,1705321170000000000,4434,2180.457,2174.826,2174.826,2191.7189999999996,5.630999999999858,0.25837137478256195,sl,-5.630999999999858,5.630999999999858,-11.401999999999717,Monday,2024-01-15,5,60,2.0
h06_r60_t3,1705276800000000000,1,1705302015000000000,1705305505000000000,698,2182.749,2178.401,2178.401,2195.7929999999997,4.347999999999956,0.19934483952235896,sl,-4.347999999999956,4.347999999999956,-8.835999999999913,Monday,2024-01-15,6,60,3.0
h13_r30_t3,1705276800000000000,-1,1705325540000000000,1705326135000000000,119,2170.253,2177.316,2177.316,2149.064000000001,7.062999999999647,0.32540604343936386,sl,-7.062999999999647,7.062999999999647,-14.265999999999295,Monday,2024-01-15,13,30,3.0
h14_r15_t2,1705276800000000000,-1,1705328870000000000,1705332065000000000,639,2167.807,2172.15,2172.15,2159.120999999999,4.343000000000302,0.20006016084967307,sl,-4.343000000000302,4.343000000000302,-8.826000000000604,Monday,2024-01-15,14,15,2.0
h00_r30_t1,1705363200000000000,-1,1705365295000000000,1705367005000000000,342,2167.103,2168.9545,2168.9545,2165.2515000000003,1.85149999999976,0.08543039222538489,sl,-1.85149999999976,1.85149999999976,-3.84299999999952,Tuesday,2024-01-16,0,30,1.0
h01_r60_t3,1705363200000000000,-1,1705377870000000000,1705396065000000000,3637,2161.714,2168.9405,2168.9405,2140.0344999999993,7.226500000000215,0.3339139997597342,sl,-7.226500000000215,7.226500000000215,-14.59300000000043,Tuesday,2024-01-16,1,60,3.0
h02_r15_t3,1705363200000000000,1,1705372365000000000,1705377410000000000,1009,2165.3,2162.9805,2162.9805,2172.2585000000004,2.319500000000062,0.10720550896272081,sl,-2.319500000000062,2.319500000000062,-4.779000000000123,Tuesday,2024-01-16,2,15,3.0
h04_r30_t3,1705363200000000000,1,1705379490000000000,1705410070000000000,6114,2165.112,2161.2945,2161.2945,2176.5645000000004,3.817500000000109,0.1763571880972461,sl,-3.817500000000109,3.817500000000109,-7.775000000000218,Tuesday,2024-01-16,4,30,3.0
h05_r60_t2,1705363200000000000,-1,1705384800000000000,1705395500000000000,2140,2162.9795,2168.1625,2168.1625,2152.6135,5.182999999999993,0.23957703536476876,sl,-5.182999999999993,5.182999999999993,-10.505999999999986,Tuesday,2024-01-16,5,60,2.0
h06_r60_t3,1705363200000000000,-1,1705392215000000000,1705394725000000000,502,2161.9685,2166.374,2166.374,2148.7520000000004,4.405499999999847,0.20343406679036857,sl,-4.405499999999847,4.405499999999847,-8.950999999999695,Tuesday,2024-01-16,6,60,3.0
h13_r30_t3,1705363200000000000,-1,1705412105000000000,1705414990000000000,577,2160.2844999999998,2165.67,2165.67,2144.127999999999,5.38550000000032,0.24901438069031478,sl,-5.38550000000032,5.38550000000032,-10.91100000000064,Tuesday,2024-01-16,13,30,3.0
h14_r15_t2,1705363200000000000,1,1705414895000000000,1705419110000000000,843,2164.63,2158.3065,2158.3065,2177.277,6.323499999999967,0.2924630466800793,sl,-6.323499999999967,6.323499999999967,-12.786999999999935,Tuesday,2024-01-16,14,15,2.0
h00_r30_t1,1705449600000000000,-1,1705451435000000000,1705484680000000000,6649,2152.4235,2135.1025,2169.7445,2135.1025,17.320999999999913,0.8040521517481863,tp,17.320999999999913,17.320999999999913,34.501999999999825,Wednesday,2024-01-17,0,30,1.0
h01_r60_t3,1705449600000000000,1,1705456935000000000,1705484595000000000,5532,2155.3145,2138.6405,2138.6405,2205.3365,16.673999999999978,0.7760378645415054,sl,-16.673999999999978,16.673999999999978,-33.48799999999996,Wednesday,2024-01-17,1,60,3.0
h02_r15_t3,1705449600000000000,-1,1705458250000000000,1705470370000000000,2424,2148.4745000000003,2155.3675000000003,2155.3675000000003,2127.7955,6.893000000000029,0.320581614018901,sl,-6.893000000000029,6.893000000000029,-13.926000000000059,Wednesday,2024-01-17,2,15,3.0
h04_r30_t3,1705449600000000000,1,1705465860000000000,1705484585000000000,3745,2145.7235,2139.5375000000004,2139.5375000000004,2164.281499999999,6.185999999999694,0.2883750049822164,sl,-6.185999999999694,6.185999999999694,-12.51199999999939,Wednesday,2024-01-17,4,30,3.0
h05_r60_t2,1705449600000000000,-1,1705479990000000000,1705516920000000000,7386,2144.1315,2105.0115,2163.6915,2105.0115,19.559999999999945,0.9070427276945023,tp,39.11999999999989,19.559999999999945,78.09999999999978,Wednesday,2024-01-17,5,60,2.0
h06_r60_t3,1705449600000000000,-1,1705474800000000000,1705501870000000000,5414,2152.89,2126.244000000001,2161.7765,2126.244000000001,8.881999999999607,0.4125436109734932,tp,26.64599999999882,8.88650000000007,53.15199999999764,Wednesday,2024-01-17,6,60,3.0
h13_r30_t3,1705449600000000000,-1,1705498215000000000,1705503400000000000,1037,2139.1255,2115.5425000000005,2146.9865,2115.5425000000005,7.860999999999876,0.3673942187638326,tp,23.58299999999963,7.860999999999876,47.02599999999926,Wednesday,2024-01-17,13,30,3.0
h14_r15_t2,1705449600000000000,-1,1705501155000000000,1705503370000000000,443,2133.4255000000003,2119.3355,2140.4705000000004,2119.3355,7.045000000000073,0.3299391052772728,tp,14.090000000000146,7.045000000000073,28.04000000000029,Wednesday,2024-01-17,14,15,2.0
h00_r30_t1,1705536000000000000,1,1705538195000000000,1705539695000000000,297,2106.677,2107.8700000000003,2105.484,2107.8700000000003,1.193000000000211,0.056644620529720316,tp,1.193000000000211,1.193000000000211,2.246000000000422,Thursday,2024-01-18,0,30,1.0
h01_r60_t3,1705536000000000000,-1,1705550245000000000,1705553070000000000,562,2106.707,2109.132,2109.132,2099.4319999999993,2.425000000000182,0.11506049335093554,sl,-2.425000000000182,2.425000000000182,-4.9900000000003635,Thursday,2024-01-18,1,60,3.0
