param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,year,ehour,scale,pnl_vt
h13_r30_t3,1778112000000000000,1,1778160685000000000,1778169140000000000,1691,4750.477,4731.1720000000005,4731.1720000000005,4808.391999999998,19.30499999999938,0.40683508227108134,sl,-19.30499999999938,19.30499999999938,-38.749999999998764,Thursday,2026-05-07,13,30,3.0,2026,13,0.6582637857118773,-25.507721696334432
h14_r15_t2,1778112000000000000,-1,1778163365000000000,1778163635000000000,54,4742.4529999999995,4754.273999999999,4754.273999999999,4718.811,11.820999999999913,0.24875087960297315,sl,-11.820999999999913,11.820999999999913,-23.781999999999826,Thursday,2026-05-07,14,15,2.0,2026,14,0.6582637857118773,-15.654829351799751
h00_r30_t1,1778198400000000000,1,1778202045000000000,1778205415000000000,674,4709.52,4724.989000000001,4694.0509999999995,4724.989000000001,15.46900000000096,0.32930548453613806,tp,15.46900000000096,15.46900000000096,30.79800000000192,Friday,2026-05-08,0,30,1.0,2026,1,0.6571098832012188,20.237670182832396
h01_r60_t3,1778198400000000000,1,1778205775000000000,1778225125000000000,3870,4725.704,4700.465,4700.465,4801.4209999999985,25.238999999999578,0.5344069890668698,sl,-25.238999999999578,25.238999999999578,-50.61799999999916,Friday,2026-05-08,1,60,3.0,2026,2,0.6571098832012188,-33.26158806787874
h02_r15_t3,1778198400000000000,-1,1778206570000000000,1778221735000000000,3033,4721.575,4733.014999999999,4733.014999999999,4687.255000000001,11.4399999999996,0.2421475097435713,sl,-11.4399999999996,11.4399999999996,-23.0199999999992,Friday,2026-05-08,2,15,3.0,2026,2,0.6571098832012188,-15.12666951129153
h04_r30_t3,1778198400000000000,-1,1778215225000000000,1778218205000000000,596,4713.289,4723.246999999999,4723.246999999999,4683.415000000001,9.957999999999629,0.21107774499102913,sl,-9.957999999999629,9.957999999999629,-20.05599999999926,Friday,2026-05-08,4,30,3.0,2026,4,0.6571098832012188,-13.178995817483157
h05_r60_t2,1778198400000000000,1,1778221730000000000,1778224945000000000,643,4731.612999999999,4709.641,4709.641,4775.556999999999,21.971999999999753,0.4647349665471993,sl,-21.971999999999753,21.971999999999753,-44.083999999999506,Friday,2026-05-08,5,60,2.0,2026,6,0.6571098832012188,-28.968032091042204
h06_r60_t3,1778198400000000000,-1,1778224655000000000,1778247035000000000,4475,4712.915,4734.841,4734.841,4647.136999999999,21.926000000000386,0.46397987487822556,sl,-21.926000000000386,21.926000000000386,-43.99200000000077,Friday,2026-05-08,6,60,3.0,2026,7,0.6571098832012188,-28.907577981788524
h13_r30_t3,1778198400000000000,1,1778247005000000000,1778250635000000000,726,4729.177,4716.502,4716.502,4767.2019999999975,12.674999999999272,0.2681142084030964,sl,-12.674999999999272,12.674999999999272,-25.489999999998545,Friday,2026-05-08,13,30,3.0,2026,13,0.6571098832012188,-16.74973092279811
h14_r15_t2,1778198400000000000,-1,1778250595000000000,1778273875000000000,4651,4718.909,4715.31,4749.812,4657.102999999999,30.903000000000247,0.6530657615645398,session_end,3.5989999999992506,30.903000000000247,7.0579999999985015,Friday,2026-05-08,14,15,2.0,2026,14,0.6571098832012188,4.637881555633218
