param,trades_tr,net_tr,exp_tr,win_rate_tr,pf_tr,trades_ho,net_ho,exp_ho,win_rate_ho,pf_ho,hour,rng,tgt,both
h16_r30_t1,383,-51.67499999996055,-0.13492167101817376,50.13054830287206,0.9945689330357631,246,109.07000000007744,0.4433739837401522,52.84552845528455,1.0072390063440078,16,30,1,False
h16_r30_t2,383,-2103.439999999929,-5.492010443864045,38.642297650130544,0.8152134571662559,246,-1082.6249999998627,-4.400914634145783,40.65040650406504,0.9396234948745922,16,30,2,False
h16_r30_t3,383,-2157.3949999999363,-5.632885117493307,37.59791122715404,0.8129874103845415,246,611.3350000002117,2.485101626017121,39.83739837398374,1.0339204382937885,16,30,3,False
h16_r60_t1,365,-541.970000000034,-1.4848493150685864,49.31506849315068,0.9442814947778967,230,1242.6199999999608,5.402695652173742,53.04347826086957,1.0779792736359466,16,60,1,False
h16_r60_t2,365,-1417.2149999999926,-3.882780821917788,43.83561643835616,0.8677694779506169,230,-1745.8699999999271,-7.590739130434466,44.34782608695652,0.9050388371667414,16,60,2,False
h16_r60_t3,365,-1642.400000000003,-4.499726027397268,43.28767123287671,0.8486785400206283,230,-895.2549999999111,-3.8924130434778745,43.913043478260875,0.9514942688787335,16,60,3,False
h17_r15_t1,378,-14.46000000000592,-0.03825396825398392,52.38095238095239,0.9977913953005288,245,-482.6999999998625,-1.9702040816320918,46.12244897959184,0.9603586364914997,17,15,1,False
h17_r15_t2,378,399.6849999999744,1.0573677248676572,39.94708994708995,1.0512041497799982,245,-1320.1549999998756,-5.388387755101533,31.020408163265305,0.9127870546262271,17,15,2,False
h17_r15_t3,378,641.8549999999688,1.6980291005290178,36.24338624338625,1.078663280031616,245,530.6300000002024,2.1658367346947034,30.612244897959183,1.034937531130747,17,15,3,True
h17_r30_t1,379,-647.4400000000409,-1.7082849604222714,49.86807387862797,0.9239865945714896,246,-149.48999999997503,-0.6076829268291668,47.96747967479675,0.9899049005025953,17,30,1,False
h17_r30_t2,379,14.494999999955624,0.03824538258563489,42.480211081794195,1.0015469625052316,246,215.72500000000508,0.8769308943089638,38.21138211382114,1.0125439999441777,17,30,2,True
h17_r30_t3,379,-605.1100000000322,-1.5965963060686865,40.633245382585756,0.9374849229163889,246,13.334999999972865,0.05420731707306043,34.959349593495936,1.0007538700499876,17,30,3,False
h17_r60_t1,359,654.6499999999498,1.823537604456685,49.86072423398329,1.0857480044743721,233,-1949.594999999922,-8.367360515021124,47.63948497854077,0.8810317241413015,17,60,1,False
h17_r60_t2,359,857.2599999999519,2.387910863509615,45.12534818941504,1.1011366458418197,233,-1192.5550000000114,-5.118261802575156,42.06008583690987,0.9327372938570677,17,60,2,False
h17_r60_t3,359,1031.7799999999656,2.874038997214389,45.12534818941504,1.1217259273110551,233,354.3649999999933,1.5208798283261515,41.63090128755365,1.0199141314945779,17,60,3,True
h18_r15_t1,367,-1200.5350000000267,-3.271212534060018,43.05177111716621,0.8131848295876699,239,2486.639999999975,10.404351464435042,54.39330543933054,1.2763550526284175,18,15,1,False
h18_r15_t2,367,-771.6400000000677,-2.102561307902092,33.787465940054496,0.893439906315932,239,3438.1649999999768,14.385627615062665,41.42259414225941,1.3047928097880053,18,15,2,False
h18_r15_t3,367,-594.155000000057,-1.6189509536786295,31.33514986376022,0.920979938928367,239,5186.959999999963,21.702761506275994,38.912133891213394,1.448109751883334,18,15,3,False
h18_r30_t1,368,-564.6899999999214,-1.5344836956519603,45.92391304347826,0.9198909919393161,245,2809.0549999999407,11.465530612244656,55.10204081632652,1.2424083823850411,18,30,1,False
h18_r30_t2,368,421.7600000000581,1.146086956521897,39.40217391304348,1.0555732340351884,245,5903.770000000001,24.09702040816327,47.755102040816325,1.4594704288051856,18,30,2,True
h18_r30_t3,368,541.9350000000825,1.4726494565219632,38.315217391304344,1.0698157069398424,245,8762.64499999998,35.76589795918359,47.755102040816325,1.6819669898416787,18,30,3,True
h18_r60_t1,354,995.1049999999208,2.8110310734461037,48.0225988700565,1.1552991612389096,236,4133.054999999899,17.51294491525381,55.08474576271186,1.3691872539640326,18,60,1,True
h18_r60_t2,354,1038.37999999994,2.933276836158023,46.04519774011299,1.1563761714508503,236,6029.77999999996,25.549915254237117,48.30508474576271,1.5004866019496415,18,60,2,True
h18_r60_t3,354,1023.1599999999997,2.8902824858757055,45.48022598870056,1.151620365224942,236,8297.29000000002,35.15800847457636,48.30508474576271,1.688695520813492,18,60,3,True
h19_r15_t1,349,413.0500000000058,1.1835243553008763,49.570200573065904,1.0919218691929904,240,-533.2999999999429,-2.2220833333330954,52.083333333333336,0.9501248981782964,19,15,1,False
h19_r15_t2,349,459.0699999999884,1.3153868194842075,39.25501432664756,1.0861754538773498,240,-1389.2599999998247,-5.788583333332602,39.58333333333333,0.8894502432196635,19,15,2,False
h19_r15_t3,349,871.7949999999774,2.497979942693345,37.249283667621775,1.1599296657656244,240,-405.9449999998359,-1.6914374999993163,36.666666666666664,0.9684049662292178,19,15,3,False
h19_r30_t1,361,728.0850000000484,2.016855955678804,54.29362880886427,1.1386841779445618,249,-263.65999999986036,-1.0588755020074714,52.610441767068274,0.9788359448591623,19,30,1,False
h19_r30_t2,361,1199.7000000000319,3.32326869806103,49.03047091412742,1.2147116015316406,249,-197.9049999998247,-0.7947991967864446,43.77510040160642,0.9858518774027281,19,30,2,False
h19_r30_t3,361,1645.7450000000808,4.55885041551269,48.75346260387812,1.2924638028851212,249,2135.540000000227,8.576465863454727,43.373493975903614,1.1522118052994255,19,30,3,True
