session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,vwap_drift_pct,realized_vol_pct,max_dev_pct,mean_abs_dev_pct,vwap_crosses,avg_spread,median_spread
2024-03-07,Thursday,276,124446,2147.2505,2164.9025,2144.285,2161.7635,0.9601814040793234,0.6758876060338521,0.7039165757244921,0.333063180241106,0.7620836782982842,0.43350220878782175,0.1545697506005979,18,0.07081187998296064,0.06299999999964712
2024-03-08,Friday,264,137618,2161.942,2195.2145,2154.0525,2178.602,1.9039363683207164,0.7706034666979898,0.4047422379864863,0.2957035055825871,1.1736995850848868,1.3942589037145896,0.31111052345997686,3,0.06336364790251899,0.06299999999964712
2024-03-11,Monday,276,103716,2181.6925,2189.112,2174.783,2183.6515,0.6567836668091482,0.08979267243206054,0.13671575127362748,-0.018122454453407287,0.6596188358244606,0.2507899728016476,0.08353725104061835,31,0.0711408037188806,0.06299999999964712
2024-03-12,Tuesday,276,131603,2183.651,2184.5834999999997,2150.567,2157.015,1.5577809824005635,-1.2197919905699204,0.7830317639968892,-0.6584810558159505,0.986979565233087,1.0378692370798537,0.3426132100783767,9,0.07330671473086156,0.06299999999964712
2024-03-13,Wednesday,276,102995,2157.007,2179.9,2156.6305,2175.4615,1.0787864851620732,0.8555605058305247,0.7930767743183103,0.38478663824708687,0.5503965559354433,0.7268943649330032,0.2292707521319968,37,0.07120376386930839,0.06299999999964712
2024-03-14,Thursday,276,106650,2175.549,2177.071,2152.749,2161.7200000000003,1.1179706823427151,-0.6356556437018759,0.5685798865224758,-0.39082212976690284,0.6257167665460096,0.6980158392188544,0.19853329718890939,8,0.07000760316389608,0.06299999999964712
2024-03-15,Friday,252,96321,2161.7975,2172.812,2155.1915,2155.797,0.8150855942797599,-0.27756993890501314,0.3405408473085386,0.08404436496571882,0.6914460144646802,0.37513838755240375,0.1549813087293932,16,0.06258421507952174,0.062000000000352884
2024-03-18,Monday,276,94258,2156.573,2163.705,2146.128,2161.7495,0.8150431262934188,0.24003360887853245,0.2945041816009615,-0.006188065389767827,0.5710045631377978,0.468405971281522,0.21151855044411666,7,0.07091045142296351,0.06299999999964712
2024-03-19,Tuesday,276,97887,2162.1535,2162.9395,2147.2555,2157.109,0.7253879060852868,-0.23330905969441906,0.321633511859223,-0.25928445519795956,0.5554483930798613,0.4701509793103688,0.10743871275321665,23,0.07069071784462291,0.06299999999964712
2024-03-20,Wednesday,275,131033,2157.154,2211.725,2149.6335,2203.651,2.878399038733442,2.155478931963126,0.7488464604656007,0.30828707285699763,1.4588251494985949,2.362914408279659,0.346155223437251,13,0.08287638727083475,0.06299999999964712
2024-03-21,Thursday,276,142609,2204.071,2212.7129999999997,2166.3965,2181.5905000000002,2.101406896601784,-1.0199535314424837,0.48536698584737,-0.3497267053583467,0.9952661608239594,1.5466137834720006,0.4032206167287658,16,0.07333473748473823,0.06299999999964712
2024-03-22,Friday,252,112524,2181.776,2186.1435,2157.0860000000002,2165.438,1.3318278320047472,-0.7488394775632209,0.5622644756087,-0.5116082987510663,0.7388600375951946,0.6205524643104761,0.24738678247664608,12,0.06254036648519451,0.06299999999964712
2024-03-25,Monday,276,103660,2168.418,2181.3805,2163.5125,2172.978,0.8240108687531827,0.21029155817743372,0.25520483546003164,0.13607534596322754,0.7042867554337539,0.44493787753679015,0.13881598523707042,18,0.07544197274338599,0.06299999999964712
2024-03-26,Tuesday,276,110044,2172.983,2200.15,2167.641,2179.5665,1.4960540418401806,0.3029706168893052,0.20251315020455038,0.2641199300984527,0.8006798671181592,1.0674536930511818,0.2068476348579512,23,0.07247362596827567,0.06299999999964712
2024-03-27,Wednesday,276,108593,2179.5625,2197.6855,2173.255,2191.069,1.1208900868867004,0.5279270495799024,0.4709891324369124,0.2926515723806768,0.7632231919973953,0.7432205400687831,0.2454409371936579,9,0.07695780848722085,0.06299999999964712
2024-03-28,Thursday,252,124400,2190.8225,2236.4435000000003,2187.4049999999997,2232.737,2.2383602505451976,1.9131855729982623,0.8547263884498787,0.721494536604005,0.9200303827164675,1.2696395232314523,0.41451052733999116,13,0.07033359920239327,0.06299999999964712
2024-04-01,Monday,241,120334,2246.109,2265.828,2228.5715,2244.532,1.658712911973549,-0.07021030591123453,0.04232818434366547,0.23210384330274592,1.1390582886347413,1.0728135690008889,0.31719021221351135,8,0.079674105905186,0.06300000000010186
2024-04-02,Tuesday,241,140844,2249.063,2279.4035,2246.7515,2276.5355,1.4518045959584078,1.2215086905079962,0.8413726571113506,0.421061881564119,1.0031962698779642,0.8448607676120771,0.22902382071773755,12,0.06249451921742591,0.062000000000352884
2024-04-03,Wednesday,265,150535,2279.9855,2302.7415,2265.447,2300.7780000000002,1.635734086905376,0.9119575541160447,0.5575218866052766,0.10060017610633643,0.852348336634974,0.8301153474598221,0.321205742245802,17,0.07166316189511031,0.06299999999964712
2024-04-04,Thursday,276,144184,2297.6005,2305.641,2279.9175,2288.9905,1.1195810585869936,-0.37473877638867714,0.3347133943670227,-0.2057816091701433,1.0108143086437165,0.6111201313282479,0.16134090450068225,19,0.07097628458497887,0.06299999999964712
2024-04-05,Friday,241,170567,2288.791,2330.626,2267.851,2323.616,2.7427143850181204,1.5215456544524955,0.5547590601354006,0.2966731560033198,1.2317709079652372,1.7459248034578767,0.6142855712052254,9,0.06292401637638129,0.06299999999964712
2024-04-08,Monday,265,228771,2311.397,2354.242,2302.962,2338.5505,2.218571712258872,1.1747657369114823,0.5295144305772189,1.0058907861698325,1.3195174463267014,1.3683944350733273,0.30187744953893786,13,0.07082897166507343,0.06299999999964712
2024-04-09,Tuesday,229,172102,2338.8835,2365.44,2337.871,2348.9445,1.1787248060880313,0.4301625113008044,0.3649388806267969,0.40563119437064254,1.1493783354056966,0.7748678555492812,0.201886113862475,25,0.06250029214139453,0.06299999999964712
2024-04-10,Wednesday,252,223600,2354.999,2360.179,2319.321,2332.8325,1.7349476581518795,-0.9412530536106307,0.5425253316363924,-0.4050281326557652,1.7437531252241276,1.233587918449019,0.3025149617362512,14,0.06289521912350698,0.062000000000352884
2024-04-11,Thursday,276,179201,2335.589,2379.6575000000003,2325.693,2377.1005,2.31053066271506,1.7773460998489063,0.7692371837041024,0.5036832323363618,1.0078222268581232,1.4498218527021571,0.4014780995270602,22,0.07100473128715327,0.06299999999964712
2024-04-12,Friday,252,305876,2376.8875,2431.6245,2333.893,2344.482,4.111742772848941,-1.3633585939595312,0.3315768201654522,0.33073883457415837,1.6141743349448334,2.187166931297201,0.5825909801050747,18,0.06250341670536555,0.06299999999964712
2024-04-15,Monday,276,250872,2364.7455,2392.3395,2324.183,2381.9375,2.882191762284781,0.7270126954465082,0.25224299956717255,-0.10760384436004815,1.5386540459997506,1.3595964696098175,0.36039557848799636,15,0.07100151643818739,0.06299999999964712
2024-04-16,Tuesday,253,230973,2381.9975,2398.358,2363.0655,2383.6310000000003,1.4816346364763195,0.06857689817056346,0.04628462137849024,-0.006074810508575235,1.2731295326693937,0.7885606028101193,0.28107039968718117,11,0.06305422921764549,0.06299999999964712
2024-04-17,Wednesday,265,192097,2382.8035,2395.6815,2354.6545,2365.0085,1.7217953557647554,-0.7468093781128017,0.4337387574036623,-0.02879793698378421,1.0852379516805517,0.8896956087141558,0.238577846290178,14,0.07124284629020101,0.06299999999964712
2024-04-18,Thursday,276,168731,2367.9365,2392.9015,2364.119,2380.1035,1.2155097909086583,0.5138229002340381,0.422722140189367,0.41880044367622593,0.9135413961866814,0.5866741725425757,0.17575750522559597,11,0.07033187027554184,0.06299999999964712
2024-04-19,Friday,252,255828,2379.967,2417.9935,2372.8615,2390.7765,1.8963288146432309,0.4541869698193228,0.23950855268988364,0.39196602719114926,1.3639388223412567,1.1927942592030476,0.2776714503870178,11,0.06249535809018651,0.062000000000352884
2024-04-22,Monday,253,182974,2386.6055,2386.6055,2324.5969999999998,2329.7754999999997,2.5981880960217496,-2.3812062781218084,0.9164872557794503,-1.3512984185628882,1.0449173628402062,1.298110959472968,0.6550494905339743,8,0.06302098226105345,0.06299999999964712
2024-04-23,Tuesday,265,216298,2333.815,2334.4764999999998,2291.431,2322.882,1.84442640055016,-0.4684604392378998,0.2539870602037394,-0.7970720249664559,1.4079007191301967,1.2076002073030987,0.4086666045527759,7,0.0709634231378758,0.06299999999964712
2024-04-24,Wednesday,276,155656,2323.326,2337.4535,2311.8065,2316.091,1.1038915761283579,-0.31140700874522675,0.282099270869893,-0.055786823759881886,0.9558833554974635,0.6334951734537646,0.1600207280784209,18,0.0705601679956143,0.06299999999964712
2024-04-25,Thursday,265,171923,2316.3235,2344.9719999999998,2304.934,2332.508,1.7285150368676723,0.6987150110940827,0.40422848294120645,0.370870967838386,1.2045320179147974,0.9099124296588894,0.2490838470439727,10,0.07107670815341614,0.06299999999964712
2024-04-26,Friday,252,142386,2330.717,2352.6555,2326.318,2337.8625,1.1300170719997167,0.30657947747410275,0.27130517323209047,0.34967295341023674,0.9238346353563076,0.6468246910028902,0.19634744327445033,19,0.0625025555924322,0.062000000000352884
2024-04-29,Monday,265,151060,2336.0365,2346.81,2319.901,2334.448,1.1519083712947167,-0.06799979366762011,0.05903229402803108,-0.03174883898364826,0.8885696031083858,0.49644603441182966,0.17095339867720388,19,0.07071889312977206,0.06299999999964712
2024-04-30,Tuesday,276,156909,2333.2780000000002,2336.2125,2285.0665,2290.734,2.1920234108408936,-1.8233575253356142,0.8318148046768109,-0.9343521453686968,0.9303144579176956,1.18414290791821,0.5562054183802067,6,0.07091456003889218,0.06299999999964712
2024-05-01,Wednesday,276,179321,2291.3559999999998,2328.377,2281.6425,2324.462,2.039600131974256,1.444821319777469,0.7083845981020489,0.268847343980597,1.0670002780016636,1.4329533995824955,0.40326539951240453,14,0.07235432113771664,0.06299999999964712
2024-05-02,Thursday,276,148390,2323.948,2326.5705,2285.492,2303.9655000000002,1.7676170034785472,-0.8598514252470201,0.48644668135398816,-0.7276917470843614,0.987916208282603,1.0199225700106886,0.3227744521413563,7,0.07075974460322429,0.06299999999964712
2024-05-03,Friday,252,172551,2304.343,2320.9125000000004,2277.179,2302.009,1.8978728427148337,-0.10128700458220989,0.05336869905220981,-0.16448267909672595,1.5578280359377796,0.8614696627964448,0.1340523454594945,13,0.06291201645544281,0.062000000000352884
