session_date,hour,mean_abs_dev_pct,bar_range_pct,avg_spread
2025-05-12,9,1.2479633292376662,0.14012508479362074,0.03700000000001056
2025-05-12,10,1.4161086493816109,0.14031272415177168,0.03699861111111002
2025-05-12,11,1.079847214355857,0.16142353013346727,0.036998611111121384
2025-05-12,12,0.7979142595126313,0.1466240700305345,0.03699861111110371
2025-05-12,13,0.3797969501339343,0.19995039168126527,0.036998611111104966
2025-05-12,14,0.3581116957478749,0.1909402959595276,0.03700000000000172
2025-05-12,15,0.3673533687821288,0.1196180470076939,0.03700138888888647
2025-05-12,16,0.6481912051560073,0.10761376458910683,0.03700000000001056
2025-05-12,17,0.7443106218250463,0.08491016792255471,0.03699999999999035
2025-05-12,18,0.7030709909981958,0.07055990611539091,0.03699999999999288
2025-05-12,19,0.3594716212265771,0.08444286239243032,0.03700000000000172
2025-05-12,20,0.31237786062735423,0.055432702621520176,0.037000000000009435
2025-05-12,22,0.30473490190968827,0.0879848423911273,0.03700000000000973
2025-05-12,23,0.2561856140715142,0.068262128613547,0.03700134099617373
2025-05-13,0,0.05799404576085059,0.09856832910962576,0.03700138888889405
2025-05-13,1,0.23570688372638907,0.1815255433227231,0.03700000000000109
2025-05-13,2,0.1551099123281642,0.1273937631442649,0.03700138888887825
2025-05-13,3,0.07315636773108487,0.07228633379636629,0.03700138888888899
2025-05-13,4,0.2505517012483359,0.08348194010071026,0.036998611111112543
2025-05-13,5,0.5793847320298187,0.09691814945283357,0.03699999999999729
2025-05-13,6,0.5007651401099735,0.14051893329320939,0.03700000000000551
2025-05-13,7,0.49940180899937175,0.09057222039270404,0.03699861111111192
2025-05-13,8,0.37409898351935983,0.08466447703721285,0.036998611111110025
2025-05-13,9,0.26641771851486773,0.0721266087715152,0.03699999999999192
2025-05-13,10,0.2420396530577358,0.06505556898571463,0.03699861111112076
2025-05-13,11,0.24134714958668954,0.10480931183691897,0.036999999999998555
2025-05-13,12,0.1255698529458852,0.15658728159006371,0.0377763888888972
2025-05-13,13,0.2225112238820149,0.1574949212918915,0.036999999999995405
2025-05-13,14,0.18415669509254276,0.1431175435054467,0.03700138888887889
2025-05-13,15,0.12092651818463827,0.10687104191913599,0.03699999999999351
2025-05-13,16,0.22523870139160138,0.07938128245906538,0.03700138888888899
2025-05-13,17,0.05952420091836,0.07548405850899147,0.03699861111111002
2025-05-13,18,0.0642736585880629,0.058699583319538895,0.037000000000012086
2025-05-13,19,0.07713486311427771,0.05922237822505241,0.03700000000001119
2025-05-13,20,0.1506550250477884,0.056715425181105374,0.037000000000005674
2025-05-13,22,0.1508317698156907,0.05656770817344897,0.036999999999995106
2025-05-13,23,0.23677465447569057,0.04960616442530411,0.037001436781614445
2025-05-14,0,0.056529315589119465,0.10387336074958468,0.03700000000001246
2025-05-14,1,0.09706167555176587,0.152457769929086,0.03700000000000488
2025-05-14,2,0.22832234733595347,0.12404981550756054,0.03699999999999982
2025-05-14,3,0.31994350874807487,0.08917865519974182,0.03699861111112139
2025-05-14,4,0.33900245478591007,0.09094643234628688,0.03700138888888331
2025-05-14,5,0.2399618936669167,0.1009113118086578,0.03700000000000172
2025-05-14,6,0.08858074690376438,0.09048714352737079,0.03699999999999666
2025-05-14,7,0.12352626612032663,0.12582639472175328,0.03700000000000613
2025-05-14,8,0.07448085494767835,0.1179852328735147,0.03700138888889531
2025-05-14,9,0.06373366016031223,0.09902835321326878,0.036997222222218316
2025-05-14,10,0.04751161119208933,0.08353264569248772,0.0370013888888833
2025-05-14,11,0.12979183751084705,0.09453370262518887,0.03700000000000045
2025-05-14,12,0.8191254797528259,0.23941514766212013,0.03699999999999983
2025-05-14,13,1.313162476846967,0.2229131072773823,0.03700138888889405
2025-05-14,14,1.3098170917072938,0.17886242005672037,0.03700000000000172
2025-05-14,15,1.3005461185782146,0.11405181526334007,0.036999999999989715
2025-05-14,16,1.1885764323834627,0.12888660233073615,0.036999999999995405
2025-05-14,17,1.1049747566271884,0.0798475419159275,0.03700000000000298
2025-05-14,18,1.2868833478856259,0.07797211993551649,0.03699999999999351
2025-05-14,19,1.2368966356006363,0.08729645280845223,0.036999999999991616
2025-05-14,20,1.0339117530602489,0.0623796846702532,0.03699858757062313
2025-05-14,22,0.9299914513054134,0.05886042637256514,0.037001436781611115
2025-05-14,23,0.8129189280378076,0.05532973308815793,0.03699999999999878
2025-05-15,0,0.049434144924387656,0.10138148817293588,0.03700000000000263
2025-05-15,1,0.12870684178653202,0.1590779393171293,0.03700000000000236
2025-05-15,2,0.5277280678395627,0.16838339521459256,0.03700138888888773
2025-05-15,3,0.6637243606439589,0.09813777386967319,0.03700138888888583
2025-05-15,4,0.7166181478950707,0.11283857181583093,0.03700000000000235
2025-05-15,5,0.8295273716616474,0.1303938516679683,0.0370000000000074
2025-05-15,6,0.5910676014036792,0.20352604536714639,0.036999999999989715
2025-05-15,7,0.4330759221908265,0.16505986838003886,0.03700000000001625
2025-05-15,8,0.1580527707823891,0.13371659522112195,0.03700138888888837
2025-05-15,9,0.33038836840709346,0.11794947294672213,0.03700138888888095
2025-05-15,10,0.5757120398889026,0.10930314270228565,0.03699999999999856
2025-05-15,11,0.5457553531382081,0.10066394228203045,0.03700000000000109
2025-05-15,12,0.7033694883936219,0.14656700715153698,0.03700138888890731
2025-05-15,13,0.9568515168674482,0.1668546136253189,0.03700138888889784
2025-05-15,14,1.1531532483325817,0.1596333452415003,0.037000000000003606
2025-05-15,15,1.43585534119981,0.11687790787893869,0.03700000000000109
2025-05-15,16,1.539352025943482,0.07725439477177919,0.036999999999989715
2025-05-15,17,1.5352136897147408,0.09594650469380532,0.037001388888889625
2025-05-15,18,1.4875272268077442,0.06183465790074548,0.03699861111110586
2025-05-15,19,1.544298653988789,0.06437129077863485,0.03700000000000298
2025-05-15,20,1.7370577515929828,0.06561979520882374,0.0370000000000135
2025-05-15,22,1.971703500040922,0.095953375137902,0.0369999999999984
2025-05-15,23,1.7270720897950935,0.1325160363838943,0.036999999999999006
2025-05-16,0,0.07063649859264326,0.128231363649029,0.03700000000000172
2025-05-16,1,0.29697764283033473,0.18238995004176917,0.03700138888889216
2025-05-16,2,0.26084935911963897,0.12287485258208758,0.037000000000012453
2025-05-16,3,0.45885687734554476,0.11419372135048411,0.03699722222222085
2025-05-16,4,0.19307393977176135,0.088038633249629,0.03700138888889177
2025-05-16,5,0.11616456804735781,0.1104122991394272,0.03700000000000803
2025-05-16,6,0.1181150326575348,0.13072755003322695,0.03699999999998214
2025-05-16,7,0.30093432701329736,0.1360237195426164,0.036999999999996036
2025-05-16,8,0.4454004258241751,0.11897969514944827,0.03699861111112012
2025-05-16,9,0.2890946221048655,0.08703438405397726,0.03699999999999561
2025-05-16,10,0.6162557645611356,0.20170262048938245,0.03699999999999856
2025-05-16,11,1.3110199129846312,0.20988789106303976,0.03699861111110307
