param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
B_t0.35_s0.6_vwap_static_e0.3_h24,1555,335,41.864951768488744,0.9089991774582586,-3996.7754136575913,-2.5702735779148496,-0.03162876408205779,-11.930672876589838,-28.612868161941975,4.345808353429912,-50.22499310951372,-1.2115960993143233
B_t0.25_s1_vwap_static_e0.45_h24,2487,379,45.999195818254925,0.9399942269668377,-4229.114722010537,-1.7004884286331068,-0.015665565674708972,-11.158614042244167,-28.632810685047247,5.80765037059986,-54.52776463194584,-1.0256561539969566
B_t0.35_s0.8_vwap_static_e0.3_h12,2047,335,47.82608695652174,0.9087507610780595,-4266.473545347959,-2.0842567393004194,-0.016901077255762367,-12.735741926411828,-28.83931490788838,2.5407584692183742,-49.35060138918044,-1.3806906288705514
B_t0.35_s1_vwap_static_e0.3_h12,1990,335,48.84422110552764,0.909137731831578,-4129.763146515809,-2.0752578625707585,-0.01273765739445819,-12.327651183629294,-28.9732093674356,4.332256489448836,-48.622902815109256,-1.2555899094128655
B_t0.35_s1_fixed_r1.0_e0.45_h0,1225,353,49.224489795918366,0.932633068260326,-3623.1698350001534,-2.957689661224615,-0.02015639191602096,-10.263937209632168,-29.10611520786185,7.92027240368267,-49.80760009258632,-0.9099595608315928
B_t0.35_s1_fixed_r1.5_e0.3_h12,1998,335,48.6986986986987,0.911636357373628,-4064.132490000019,-2.034100345345355,-0.012692693814253982,-12.131738776119471,-29.119756803544856,4.298225580223522,-52.80747362412056,-1.2363785687400277
B_t0.35_s0.8_fixed_r1.0_e0.45_h12,2617,353,49.44593045471915,0.9288827319795124,-4292.358087999933,-1.6401826855177426,-0.011401205014604036,-12.159654640226448,-29.174352441642654,4.506071639376703,-53.004445878105486,-1.2105292642308474
B_t0.25_s1_vwap_static_e0.3_h24,2099,376,46.16484040019056,0.9192313498017988,-4766.889648610034,-2.2710288940495635,-0.023530796839585748,-12.677898001622443,-29.41871424429652,3.66920955836072,-55.56169270155104,-1.2227615523635909
B_t0.35_s0.6_vwap_static_e0.3_h0,1139,335,32.13345039508341,0.9041463015121577,-4093.289548475044,-3.593757285755087,-0.04625234486187752,-12.218774771567302,-29.580848384077562,4.912840342455833,-54.973069905706915,-1.2092621879275185
B_t0.35_s0.8_fixed_r1.0_e0.3_h12,2145,335,49.277389277389275,0.8969875195675123,-5058.560268000128,-2.358303155244815,-0.020592929787486076,-15.100179904478004,-29.733877383881154,-0.9947924465679678,-55.38421347803965,-1.7810531745074967
B_t0.25_s1_fixed_r1.5_e0.3_h24,2193,376,45.73643410852713,0.9221331301752412,-4920.4407124997215,-2.243703015275751,-0.021489622847119905,-13.086278490690761,-29.734040383974847,3.1985499102395183,-58.15147924409775,-1.2685245283729638
B_t0.25_s0.6_fixed_r1.5_e0.3_h24,3063,376,41.20143650016324,0.9142330031345506,-5902.9771675001375,-1.9271881056154547,-0.03091873061695021,-15.699407360372716,-29.805988249168998,-1.8929516755322005,-64.34614203221165,-1.7921597758555803
B_t0.35_s0.8_vwap_static_e0.3_h24,1413,335,46.2137296532201,0.9012844792950263,-4225.115089841981,-2.990173453532895,-0.02774146879905586,-12.612283850274576,-29.939072765696583,4.216941835144583,-49.55228981917145,-1.2598449780604715
B_t0.25_s1_fixed_r1.0_e0.3_h12,3143,376,49.220489977728285,0.9133384752677628,-5822.483224999876,-1.852524093222996,-0.017296473971205945,-15.485327726063515,-30.102305470411167,-0.887977960438469,-61.31983518882586,-1.684432054996199
B_t0.35_s0.8_fixed_r1.0_e0_h24,2528,368,49.40664556962025,0.937384235182665,-4830.0905759997495,-1.9106370949366098,-0.014572269379952542,-13.12524613043412,-30.323573824999322,3.5127964804348837,-53.541425932908716,-1.2300135933752654
B_t0.25_s0.8_fixed_r1.5_e0.3_h24,2484,376,43.51851851851852,0.9119031042626156,-5821.028200000071,-2.3434090982286917,-0.029526042560122093,-15.481457978723604,-30.46018507779242,-0.7194959933515126,-64.37739604077602,-1.6674234889272244
B_t0.35_s0.6_vwap_static_e0.45_h0,1364,353,32.47800586510264,0.9178867476735265,-4237.861267080158,-3.1069364128153647,-0.04134631125130941,-12.005272711275241,-30.62968908644273,6.106810957943462,-58.117090351171484,-1.0945892828218322
B_t0.35_s0.8_fixed_r1.5_e0.45_h0,1304,353,41.18098159509203,0.9268330107373612,-4064.506901999761,-3.116953145705338,-0.029052603698753107,-11.51418385835627,-30.81263298271828,7.096759116714577,-59.25247911065162,-1.0057996086728511
B_t0.25_s0.6_vwap_static_e0.3_h0,2016,376,29.117063492063494,0.9078720091317798,-5356.0061293968165,-2.656749072121437,-0.04728090831599308,-14.244697152651122,-30.970429327759692,2.298847180947363,-65.11757176088173,-1.3626423888910046
