param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,trail_vol,scale,pnl_vt
h05_r60_t2,1705622400000000000,1,1705644010000000000,1705648200000000000,836,2021.982,2025.1189999999997,2020.4115000000002,2025.1189999999997,1.5684999999998581,0.07758448844443018,tp,3.1369999999997162,1.5704999999998108,6.133999999999433,Friday,2024-01-19,5,60,2.0,0.7447325518162503,1.0950858659830478,6.7172567019393945
h06_r30_t3,1705622400000000000,1,1705646445000000000,1705664445000000000,3599,2023.6675,2031.8380000000002,2020.944,2031.8380000000002,2.723500000000058,0.13460689695393802,tp,8.170500000000175,2.723500000000058,16.20100000000035,Friday,2024-01-19,6,30,3.0,0.7447325518162503,1.0950858659830478,17.74148611479174
h13_r60_t2,1705622400000000000,-1,1705674075000000000,1705701475000000000,5447,2032.7035,2029.583,2039.3315,2019.4475000000002,6.627999999999929,0.325643038139488,session_end,3.1204999999999927,6.627999999999929,6.100999999999986,Friday,2024-01-19,13,60,2.0,0.7447325518162503,1.0950858659830478,6.681118868362559
h01_r60_t3,1705881600000000000,-1,1705888975000000000,1705934645000000000,9126,2028.7835,2018.6135000000004,2032.1734999999999,2018.6135000000004,3.3899999999998727,0.1670663445588055,tp,10.169999999999618,3.3899999999998727,20.199999999999235,Monday,2024-01-22,1,60,3.0,0.7299618550736786,1.1172448063729938,22.568345088733622
h02_r15_t3,1705881600000000000,-1,1705893120000000000,1705900550000000000,1478,2028.4155,2023.2930000000001,2030.123,2023.2930000000001,1.7074999999999818,0.08412838558243851,tp,5.122499999999945,1.7074999999999818,10.10499999999989,Monday,2024-01-22,2,15,3.0,0.7299618550736786,1.1172448063729938,11.28975876839898
h05_r60_t2,1705881600000000000,-1,1705903935000000000,1705912075000000000,1628,2021.925,2025.6385,2025.6385,2014.5129999999997,3.706000000000131,0.1831625389609668,sl,-3.7135000000000673,3.7135000000000673,-7.567000000000134,Monday,2024-01-22,5,60,2.0,0.7299618550736786,1.1172448063729938,-8.454191449824595
h06_r30_t3,1705881600000000000,1,1705905000000000000,1705906840000000000,368,2024.3139999999999,2020.113,2020.113,2036.9169999999992,4.2009999999997945,0.20753698651453187,sl,-4.2009999999997945,4.2009999999997945,-8.54199999999959,Monday,2024-01-22,6,30,3.0,0.7299618550736786,1.1172448063729938,-9.543505136037655
h13_r60_t2,1705881600000000000,-1,1705932395000000000,1705967995000000000,6264,2021.297,2020.983,2029.784,2004.3619999999996,8.4675000000002,0.4185097198789868,session_end,0.3140000000000782,8.48700000000008,0.4880000000001564,Monday,2024-01-22,13,60,2.0,0.7299618550736786,1.1172448063729938,0.5452154655101957
h01_r60_t3,1705968000000000000,1,1705976425000000000,1705992950000000000,3298,2022.9865,2032.9689999999996,2019.659,2032.9689999999996,3.3274999999998727,0.1645852587500311,tp,9.982499999999618,3.3274999999998727,19.824999999999235,Tuesday,2024-01-23,1,60,3.0,0.7236977520515862,1.1269153304946709,22.341096427055987
h02_r15_t3,1705968000000000000,1,1705976360000000000,1705981850000000000,1095,2022.364,2026.81,2020.882,2026.81,1.481999999999971,0.07331543322025033,tp,4.445999999999913,1.481999999999971,8.751999999999825,Tuesday,2024-01-23,2,15,3.0,0.7236977520515862,1.1269153304946709,9.862762972489161
h05_r60_t2,1705968000000000000,1,1705992655000000000,1706003410000000000,2146,2031.7705,2027.288,2027.288,2040.7355000000002,4.482500000000073,0.22071153064493176,sl,-4.482500000000073,4.482500000000073,-9.105000000000146,Tuesday,2024-01-23,5,60,2.0,0.7236977520515862,1.1269153304946709,-10.260564084154142
h06_r30_t3,1705968000000000000,1,1705992420000000000,1705993540000000000,222,2031.1365,2036.8560000000002,2029.23,2036.8560000000002,1.906500000000051,0.09389324537459666,tp,5.719500000000153,1.906500000000051,11.299000000000305,Tuesday,2024-01-23,6,30,3.0,0.7236977520515862,1.1269153304946709,12.73301631925963
h13_r60_t2,1705968000000000000,-1,1706019010000000000,1706038365000000000,3863,2023.3885,2030.4985000000001,2030.4985000000001,2009.1684999999998,7.110000000000127,0.35111388534428556,sl,-7.110000000000127,7.110000000000127,-14.360000000000255,Tuesday,2024-01-23,13,60,2.0,0.7236977520515862,1.1269153304946709,-16.18250414590376
h01_r60_t3,1706054400000000000,-1,1706062080000000000,1706081920000000000,3941,2026.501,2029.022,2029.022,2018.938,2.520999999999958,0.1243519737977891,sl,-2.520999999999958,2.520999999999958,-5.181999999999916,Wednesday,2024-01-24,1,60,3.0,0.7147507612489791,1.1410216478907296,-5.912774179369665
h02_r15_t3,1706054400000000000,-1,1706062530000000000,1706078380000000000,3147,2025.2145,2027.6535,2027.6535,2017.8975000000005,2.438999999999851,0.12041798222118352,sl,-2.438999999999851,2.438999999999851,-5.017999999999701,Wednesday,2024-01-24,2,15,3.0,0.7147507612489791,1.1410216478907296,-5.7256466291153405
h05_r60_t2,1706054400000000000,1,1706077505000000000,1706082300000000000,955,2025.7845,2031.6225000000002,2022.8654999999999,2031.6225000000002,2.9190000000000964,0.14417417069599953,tp,5.838000000000193,2.9190000000000964,11.536000000000385,Wednesday,2024-01-24,5,60,2.0,0.7147507612489791,1.1410216478907296,13.162825730067896
h06_r30_t3,1706054400000000000,1,1706078155000000000,1706089220000000000,2206,2026.288,2033.6755000000003,2023.8255,2033.6755000000003,2.462500000000091,0.12154008688204102,tp,7.387500000000273,2.462500000000091,14.635000000000545,Wednesday,2024-01-24,6,30,3.0,0.7147507612489791,1.1410216478907296,16.69885181688145
h13_r60_t2,1706054400000000000,-1,1706106785000000000,1706108610000000000,364,2031.317,2020.29,2036.8305,2020.29,5.513500000000022,0.2710554693989029,tp,11.027000000000044,5.513500000000022,21.914000000000087,Wednesday,2024-01-24,13,60,2.0,0.7147507612489791,1.1410216478907296,25.004348391877546
h05_r60_t2,1706140800000000000,-1,1706163085000000000,1706164550000000000,293,2014.8985,2016.6435000000001,2016.6435000000001,2011.4084999999998,1.7450000000001182,0.08657499639684878,sl,-1.7450000000001182,1.7450000000001182,-3.6300000000002366,Thursday,2024-01-25,5,60,2.0,0.7146739619395304,1.1411442627882784,-4.142353673921721
h06_r30_t3,1706140800000000000,1,1706164375000000000,1706166515000000000,427,2016.057,2014.5915,2014.5915,2020.4535,1.46550000000002,0.07271485926040329,sl,-1.46550000000002,1.46550000000002,-3.07100000000004,Thursday,2024-01-25,6,30,3.0,0.7146739619395304,1.1411442627882784,-3.5044540310228487
h13_r60_t2,1706140800000000000,1,1706191980000000000,1706227135000000000,6171,2023.0720000000001,2020.417,2009.661,2049.8940000000002,13.411000000000058,0.6641219635151399,session_end,-2.6550000000002,13.411000000000058,-5.4500000000004,Thursday,2024-01-25,13,60,2.0,0.7146739619395304,1.1411442627882784,-6.2192362321965735
