cfg,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
GEO_2026_NO_H13  r60 t3 s1.0,0.4,-9919.77999999992,-42.82287999999972,63.25301204819277,67.5,30.0,99.76190476190476,12549.60274698787,4501.0
PROPOSED         r30 t5 s1.0,0.01,-182.6270000000007,-0.5946744999999989,0.0,,250.0,0.0,0.0,4559.0
PROPOSED         r30 t5 s1.0,0.02,-365.2540000000014,-1.1893489999999978,0.0,,250.0,0.0,0.0,4559.0
PROPOSED         r30 t5 s1.0,0.03,-547.881000000002,-1.7840235000000009,16.114457831325304,198.0,250.0,0.0,154.3886963855363,4559.0
PROPOSED         r30 t5 s1.0,0.04,-730.5080000000028,-2.3786979999999955,29.367469879518072,159.0,250.0,0.0,1321.7163638553993,4559.0
PROPOSED         r30 t5 s1.0,0.05,-913.1350000000034,-2.973372499999996,39.60843373493976,176.0,226.0,0.0,3358.296900602397,4559.0
PROPOSED         r30 t5 s1.0,0.06,-1095.762000000004,-3.5680470000000017,44.27710843373494,123.5,211.5,0.0,5324.823166265074,4559.0
PROPOSED         r30 t5 s1.0,0.07,-1278.389000000005,-4.162721499999996,47.74096385542169,114.0,203.5,0.0,7473.0082253012,4559.0
PROPOSED         r30 t5 s1.0,0.08,-1461.0160000000055,-4.757395999999991,58.13253012048193,133.5,182.5,0.0,11925.164824096379,4559.0
PROPOSED         r30 t5 s1.0,0.09,-1643.6430000000062,-5.352070499999995,73.19277108433735,155.0,164.0,0.0,18892.683824096446,4559.0
PROPOSED         r30 t5 s1.0,0.1,-1826.2700000000068,-5.946744999999992,73.64457831325302,148.0,155.5,0.0,22008.89277710853,4559.0
PROPOSED         r30 t5 s1.0,0.11,-2008.8970000000077,-6.541419499999998,75.0,139.0,143.0,0.0,24987.800889156722,4559.0
PROPOSED         r30 t5 s1.0,0.12,-2191.524000000008,-7.1360940000000035,76.6566265060241,125.0,133.0,0.0,27128.06433975916,4559.0
PROPOSED         r30 t5 s1.0,0.13,-2374.151000000009,-7.730768499999996,79.96987951807229,117.0,125.0,0.0,30041.728928915785,4559.0
PROPOSED         r30 t5 s1.0,0.14,-2556.77800000001,-8.325442999999993,80.87349397590361,111.0,117.5,0.0,32871.3001180724,4559.0
PROPOSED         r30 t5 s1.0,0.15,-2739.40500000001,-8.920117499999986,81.32530120481928,107.0,115.0,0.0,35691.923006024226,4559.0
PROPOSED         r30 t5 s1.0,0.16,-2922.032000000011,-9.514791999999982,82.98192771084338,97.0,100.0,65.51724137931035,17183.3737253013,4559.0
PROPOSED         r30 t5 s1.0,0.17,-3104.659000000012,-10.109466500000003,86.29518072289156,98.0,95.5,68.06282722513089,18921.852396385646,4559.0
PROPOSED         r30 t5 s1.0,0.18,-3287.2860000000123,-10.70414099999999,88.70481927710844,99.0,92.5,69.94906621392191,15912.449414457822,4559.0
PROPOSED         r30 t5 s1.0,0.19,-3469.913000000013,-11.298815499999975,91.41566265060241,95.0,82.0,73.14662273476112,16354.446363855397,4559.0
PROPOSED         r30 t5 s1.0,0.2,-3652.5400000000136,-11.893489999999984,81.17469879518072,103.0,77.0,82.74582560296847,11046.079566265053,4559.0
PROPOSED         r30 t5 s1.0,0.21,-3835.1670000000145,-12.488164499999993,81.02409638554217,99.5,76.0,82.5278810408922,12010.343277108426,4559.0
PROPOSED         r30 t5 s1.0,0.22,-4017.7940000000153,-13.082838999999996,80.57228915662651,95.0,73.0,82.80373831775701,12748.585472289187,4559.0
PROPOSED         r30 t5 s1.0,0.23,-4200.421000000016,-13.677513500000005,79.51807228915662,94.5,67.0,82.1969696969697,13706.048851807254,4559.0
PROPOSED         r30 t5 s1.0,0.24,-4383.048000000016,-14.272188000000007,79.96987951807229,89.0,66.0,81.92090395480226,14606.443604819267,4559.0
PROPOSED         r30 t5 s1.0,0.25,-4565.6750000000175,-14.86686249999999,79.81927710843374,87.5,64.0,82.0754716981132,15413.266280120522,4559.0
PROPOSED         r30 t5 s1.0,0.26,-4748.302000000018,-15.461536999999993,79.06626506024097,85.0,62.5,82.0952380952381,16500.35824457836,4559.0
PROPOSED         r30 t5 s1.0,0.27,-4930.929000000018,-16.05621149999997,73.79518072289156,94.0,58.0,87.55102040816325,14912.26759518078,4559.0
PROPOSED         r30 t5 s1.0,0.28,-5113.55600000002,-16.650885999999986,72.89156626506023,91.5,57.0,87.19008264462809,15058.518173494025,4559.0
PROPOSED         r30 t5 s1.0,0.29,-5296.18300000002,-17.245560499999968,73.19277108433735,87.0,55.5,87.03703703703704,15924.661337349427,4559.0
PROPOSED         r30 t5 s1.0,0.3,-5478.81000000002,-17.84023499999997,73.04216867469879,81.0,45.5,86.80412371134021,16729.559981927745,4559.0
PROPOSED         r30 t5 s1.0,0.31,-5661.437000000022,-18.434909499999996,72.13855421686746,79.0,41.0,93.31941544885177,16158.552776506074,4559.0
PROPOSED         r30 t5 s1.0,0.32,-5844.064000000022,-19.029583999999964,70.78313253012048,79.5,41.0,92.76595744680851,16741.976308433812,4559.0
PROPOSED         r30 t5 s1.0,0.33,-6026.691000000023,-19.624258500000014,69.12650602409639,80.0,39.0,91.93899782135077,17465.615643976,4559.0
PROPOSED         r30 t5 s1.0,0.34,-6209.318000000024,-20.218933000000007,68.82530120481928,75.0,35.0,91.2472647702407,18057.72633855433,4559.0
PROPOSED         r30 t5 s1.0,0.35,-6391.945000000024,-20.813607499999964,68.67469879518072,72.5,34.5,90.5701754385965,18772.485680723024,4559.0
PROPOSED         r30 t5 s1.0,0.36,-6574.572000000025,-21.40828199999998,67.7710843373494,66.0,32.5,89.77777777777777,19520.18737590374,4559.0
PROPOSED         r30 t5 s1.0,0.37,-6757.199000000026,-22.002956500000025,67.16867469879519,64.5,32.0,91.4798206278027,19782.237652409767,4559.0
PROPOSED         r30 t5 s1.0,0.38,-6939.826000000026,-22.59763099999995,52.108433734939766,81.0,29.0,95.66473988439307,5776.263024096524,4559.0
PROPOSED         r30 t5 s1.0,0.39,-7122.453000000027,-23.19230550000001,53.765060240963855,62.0,27.0,95.7983193277311,6070.1180674700345,4559.0
PROPOSED         r30 t5 s1.0,0.4,-7305.080000000027,-23.786979999999968,53.01204819277109,55.0,27.0,95.45454545454545,6231.317783132684,4559.0
