,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2024-10-22,3362.2500000000346,-888.7000000000135,4616.149999999994,-509.70000000000437
2024-10-23,-353.00000000002547,-2844.1000000000186,-1719.449999999846,-1738.099999999842
2024-10-24,638.4000000000415,-603.700000000068,3344.1499999999232,-647.7000000000153
2024-10-25,-370.00000000003274,-2634.2999999999774,-2282.1499999999323,-2890.699999999917
2024-10-28,-189.05000000009386,-1256.7000000000553,-1900.3500000001095,-2849.000000000078
2024-10-29,817.6499999999978,-2878.9000000000597,-595.3999999999487,-2662.0000000000273
2024-10-30,-2654.150000000078,-2654.150000000078,-4175.400000000012,-4175.400000000012
2024-10-31,5409.9999999998945,-989.50000000004,4754.6499999999705,-707.2000000000698
2024-11-01,1201.450000000017,-1742.1999999999953,-2129.949999999939,-2562.999999999958
2024-11-04,-2578.400000000016,-3181.2000000000116,-2776.649999999994,-2914.6000000000113
2024-11-05,-1124.6999999998989,-1657.849999999893,693.699999999877,-730.600000000104
2024-11-06,6912.3500000002205,-1650.4000000000033,7644.149999999998,-2044.9000000000196
2024-11-07,6211.750000000235,-1281.1000000000568,5574.550000000143,-179.99999999987813
2024-11-08,966.800000000143,-1614.499999999809,2146.050000000083,-294.30000000000473
2024-11-11,5967.100000000068,-1429.9999999999363,3027.3500000002587,-613.1999999998043
2024-11-12,1108.149999999836,-607.2000000000244,5719.299999999726,-312.7000000000244
2024-11-13,-1795.1000000000531,-1795.1000000000531,-93.65000000004693,-2788.000000000049
2024-11-14,-799.2000000001153,-2557.7000000000444,-290.34999999987485,-577.8000000000084
2024-11-15,-3801.250000000078,-3801.250000000078,-3046.8999999999814,-3046.8999999999814
2024-11-18,2350.70000000003,-1497.0000000000055,2575.6500000001397,-1976.9999999999945
2024-11-19,1414.9499999999935,-917.3000000000484,1343.700000000059,-373.5999999999676
2024-11-20,1823.7500000001492,-589.2000000000244,1346.950000000039,-1027.2000000000062
2024-11-21,144.80000000005566,-1146.2999999999702,-1585.6999999999734,-2391.2000000000517
2024-11-22,1690.000000000231,0.0,11029.500000000213,0.0
2024-11-25,5865.400000000085,-2835.7999999998283,8711.249999999814,-582.4000000000779
2024-11-26,-1352.7499999998836,-2030.399999999836,-3230.050000000021,-4028.2999999999993
2024-11-27,2656.0499999998174,-391.19999999996435,1478.100000000064,-604.0999999999549
2024-11-28,1755.1499999999814,-538.6000000000095,5089.8999999999505,0.0
2024-11-29,679.5500000001484,-945.199999999928,-1143.5999999999458,-1802.5499999999993
2024-12-02,-1691.949999999957,-2987.899999999954,-3733.74999999994,-4079.4999999999545
2024-12-03,-2345.649999999954,-2345.649999999954,-688.3499999998021,-1762.9999999998709
