label,rng,tgt,stop,net_o,maxDD_o,rdd_o,pf_o,sharpe_o,worst_o,net_i,maxDD_i,rdd_i,pf_i,sharpe_i,worst_i,y2020,y2021,y2022,y2023
r30 t1 s2,30,1.0,2.0,-2453.539000000045,-2483.510000000058,-0.9879319994684892,0.911500655934374,-1.5486678470373716,-95.60300000000052,3903.2779999999893,-1367.7270000000258,2.8538429087090593,1.0817711213977523,1.0757075628740795,-362.1779999999948,-1304.1610000000035,-678.2370000000292,-331.45900000001416,-139.68199999999842
r30 t2 s1,30,2.0,1.0,-2048.581999999993,-2275.301000000003,-0.9003564803074363,0.925674355322951,-1.2255662029470218,-117.80200000000012,9168.726000000053,-775.351999999999,11.825243244358775,1.1939919065571323,2.3177987987801996,-363.45400000000143,-890.948000000008,-759.8250000000021,-159.18799999997617,-238.62100000000677
r30 t2 s1.5,30,2.0,1.5,-2959.946499999994,-3133.1855000000223,-0.9447083487396367,0.9132167845935549,-1.4980840101783068,-122.87500000000044,8715.514000000087,-1136.210500000011,7.670686021648279,1.1493553951116058,1.8764671701192155,-544.7610000000012,-1277.2790000000089,-1070.8115000000032,-208.0879999999804,-403.76800000000196
r30 t2 s2,30,2.0,2.0,-3157.0230000000374,-3277.1680000000583,-0.9633387729893558,0.9176063678512978,-1.4862990633297257,-183.3990000000008,9123.266000000063,-1129.132999999998,8.079886071879999,1.14021308971137,1.843566290327566,-606.511999999992,-1199.3790000000045,-1020.0530000000164,-449.9199999999983,-487.67100000001864
r30 t3 s1,30,3.0,1.0,-2307.871000000009,-2398.9030000000116,-0.9620526549010102,0.9230715051661303,-1.1338201213224735,-110.49600000000054,12689.12900000007,-1110.4919999999993,11.426582992043237,1.2487361123095757,2.582517337980311,-363.45400000000143,-1069.3160000000144,-746.1270000000127,-111.28999999997642,-381.138000000006
r30 t3 s1.5,30,3.0,1.5,-2362.847000000001,-2505.8185000000067,-0.9429441916882627,0.9371437772646212,-0.9833839708924345,-112.93100000000094,12924.476000000117,-1798.38349999999,7.1867185169348975,1.2011534708816114,2.2358812013280263,-544.7610000000012,-1055.7370000000155,-1052.640500000008,3.5530000000277653,-258.02250000000527
r30 t3 s2,30,3.0,2.0,-2828.0650000000433,-2880.7900000000623,-0.9816977287480109,0.9342347783056024,-1.091347565180998,-167.46700000000055,14043.825000000055,-1402.2829999999976,10.014972013495193,1.1943473606575798,2.2953632355593734,-570.9399999999862,-1066.0050000000138,-1178.7570000000233,43.17500000001245,-626.4780000000194
r30 t4 s1,30,4.0,1.0,-1588.2980000000061,-1733.1340000000084,-0.9164311588140319,0.9489403887691346,-0.6704053317180517,-103.19000000000095,15458.316000000093,-1177.742999999984,13.125372852991106,1.2937588950847456,2.713576749265704,-363.45400000000143,-601.1030000000263,-636.667999999996,210.39600000000956,-560.9229999999931
r30 t4 s1.5,30,4.0,1.5,-1842.507500000001,-2090.8445000000006,-0.8812264613652524,0.9534000741877917,-0.6524950727734274,-112.93100000000094,16042.708000000126,-1994.108499999984,8.045052714032488,1.2398403710164727,2.3956958204797196,-544.7610000000012,-519.2525000000238,-1016.0304999999875,153.2785000000082,-460.502999999998
r30 t4 s2,30,4.0,2.0,-2369.9890000000605,-2457.537000000067,-0.9643757143839526,0.9481551821914095,-0.777254206710661,-151.5350000000003,17578.380000000103,-1832.5709999999926,9.59219588217874,1.232523968644628,2.51137452987185,-539.7090000000015,-703.6250000000325,-1053.128000000005,345.3989999999945,-958.6350000000182
