set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
7h,60,99.0,1.5,6524.974000000018,1.1418056285866514,-3157.372499999972,9846.736499999977,1.2936847075932878,-1371.9909999999672,2.554059298584311,16371.710499999996,5.185232499491314,-3157.372499999972,1.5725097549425366,True
7h,60,99.0,2.0,7096.83300000002,1.138433306171392,-2891.9789999999666,13096.223999999991,1.3647634506589268,-1125.040999999983,3.3056217907191545,20193.05700000001,6.982435557104751,-2891.9789999999666,1.8852711681583783,True
8h,15,1.0,1.0,716.7979999999868,1.0362291496062845,-596.5489999999949,1615.358000000024,1.10115267199282,-862.1360000000042,1.816270128835451,2332.156000000011,2.015220289802493,-1157.2709999999952,1.0281936489665262,True
8h,15,1.0,1.5,371.87949999995965,1.0158395828205702,-767.4564999999964,800.3405000000548,1.0413205893929203,-891.6859999999598,0.7743861461842216,1172.2200000000144,1.0688728243584558,-1096.687999999989,0.44240961601137185,True
8h,15,1.0,2.0,97.39599999994024,1.0037923769780628,-957.253000000005,456.8400000000495,1.0212973282118578,-1859.723999999994,0.3834572936762603,554.2359999999898,0.26406311565660884,-2098.8769999999754,0.18165305742085588,True
8h,15,2.0,1.0,1889.5349999999735,1.074313563053624,-540.1400000000074,4493.018000000002,1.2249637233054425,-717.1970000000027,3.757060843163084,6382.552999999975,8.899302423183526,-717.1970000000024,2.028841535743959,True
8h,15,2.0,1.5,2342.902499999957,1.0747639416979722,-856.0409999999929,3836.8075000000435,1.1519390075057576,-629.0919999999979,2.8442407576253186,6179.710000000001,7.218941616114243,-856.0409999999929,1.7064240559074777,True
8h,15,2.0,2.0,2256.784999999937,1.063890124788139,-977.2200000000269,4081.376000000039,1.1431077173290758,-1201.441999999988,2.6161034896325703,6338.160999999976,5.27546148711302,-1201.4419999999877,1.5475861487452827,True
8h,15,3.0,1.0,3664.887999999977,1.1329971951794386,-889.0299999999947,4948.525000000025,1.2246005457377636,-1096.1270000000036,3.3907789760260685,8613.413000000002,6.892963720245355,-1249.5950000000012,2.2514319486431154,True
8h,15,3.0,1.5,4510.42349999996,1.129997770214372,-1299.429499999993,3934.5145000000566,1.137272428699676,-814.8430000000103,2.319352294186753,8444.938000000016,5.931902384543876,-1423.6475000000146,1.8661078985235349,True
8h,15,3.0,2.0,4423.493999999913,1.1113631138029834,-1349.24099999999,4946.301000000076,1.1519261643229377,-1379.7269999999912,2.507993432058368,9369.79499999999,5.725235827439994,-1636.5779999999822,1.834225657977711,True
8h,15,4.0,1.0,4673.508000000011,1.162943278786914,-809.2919999999931,6566.570000000029,1.28834833952384,-880.3080000000134,3.777809463557899,11240.07800000004,12.768346987645105,-880.3080000000118,2.480274224767066,True
