,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2025-04-10,8779.949999999802,-6488.999999999924,8155.199999999919,-5699.799999999967
2025-04-11,150.04999999994106,-4523.050000000023,820.7499999999492,-5835.199999999993
2025-04-14,-940.3499999998112,-3740.599999999895,-2957.149999999823,-6194.599999999953
2025-04-15,-2546.9500000000844,-3947.249999999997,-2616.5499999999647,-3507.249999999922
2025-04-16,6587.299999999981,-1830.2000000000244,18803.949999999983,-953.1000000000058
2025-04-17,765.8000000000775,-4612.3999999999705,-3128.599999999853,-4442.699999999893
2025-04-21,5806.400000000007,-1165.100000000044,11414.750000000044,-2266.6000000000117
2025-04-22,8683.249999999975,-2670.3000000000998,-1198.949999999926,-12299.09999999999
2025-04-23,13147.550000000114,-120.0,7879.249999999998,-8367.699999999992
2025-04-24,1242.499999999858,-120.0,-7283.300000000012,-7283.300000000012
2025-04-25,1435.4000000000688,-4251.10000000002,3958.199999999959,-4277.800000000012
2025-04-28,-3332.199999999899,-9392.199999999968,-2374.450000000028,-9019.200000000037
2025-04-29,-4463.600000000066,-5643.200000000035,-4585.750000000102,-5079.300000000019
2025-04-30,-2198.04999999999,-4067.3000000000175,-1030.0999999998603,-5134.699999999921
2025-05-01,-1277.699999999937,-4909.499999999978,-2974.7999999999174,-4445.900000000007
2025-05-02,-2423.350000000188,-2423.350000000188,-4193.750000000049,-4343.70000000001
2025-05-05,5720.15000000008,-2239.7999999999374,11909.149999999996,-105.0
2025-05-06,6282.749999999918,-2634.100000000049,14259.099999999986,-846.5999999999676
2025-05-07,-3859.649999999898,-3859.649999999898,-9900.999999999844,-9900.999999999844
2025-05-08,10394.90000000014,-105.0,13001.75000000001,-4488.200000000055
2025-05-09,308.79999999995016,-7025.799999999934,-5159.4499999998825,-6916.049999999896
2025-05-12,-1487.3000000000284,-1818.4999999999764,5545.850000000106,-4650.800000000005
2025-05-13,2680.9499999999352,-880.0999999999585,-1641.1499999999542,-3878.599999999993
2025-05-14,796.3999999999704,-2409.549999999972,4055.1499999999087,-4364.500000000051
2025-05-15,15694.199999999795,-120.0,2418.899999999936,-9286.900000000003
2025-05-16,1018.9500000000626,-3417.0999999999804,3247.600000000008,-4910.399999999989
2025-05-19,659.1000000000113,-120.0,-4252.900000000094,-5810.00000000006
2025-05-20,-1674.3500000001186,-5486.80000000005,-6413.350000000086,-6795.900000000049
2025-05-21,-369.3000000000902,-3779.199999999928,-3810.550000000016,-5500.699999999968
2025-05-22,3902.299999999717,-2644.2000000000444,1527.999999999698,-4543.950000000003
2025-05-23,1193.649999999865,-4166.000000000029,15535.299999999776,-2082.9000000000124
2025-05-26,-3075.100000000044,-3960.79999999997,-3365.900000000014,-3365.900000000014
2025-05-27,5383.999999999809,-120.0,9252.1999999999,-1046.2999999999847
2025-05-28,-472.1499999998978,-4167.999999999949,-2845.0499999998137,-4465.399999999792
2025-05-29,8095.000000000004,-1547.400000000047,12452.449999999904,-2272.6000000000518
2025-05-30,1167.75,-4038.399999999954,-2091.5499999999192,-4433.3999999999
2025-06-02,13419.20000000025,-120.0,15345.30000000022,-1286.6999999999389
2025-06-03,3955.250000000157,-1797.7999999999556,1592.599999999964,-2005.4000000000124
2025-06-04,-5283.749999999987,-5733.600000000019,-7461.100000000017,-7461.100000000017
2025-06-05,-2643.300000000023,-3671.599999999942,1452.9500000000062,-3994.799999999994
2025-06-06,4976.850000000171,-3522.299999999977,397.9500000001244,-4157.200000000003
2025-06-09,-313.349999999833,-2291.6999999997297,337.9000000000324,-3608.7999999999683
2025-06-10,-588.9499999998643,-2210.249999999949,1077.6500000002634,-3049.3999999999637
2025-06-11,-4770.200000000001,-4770.200000000001,-6828.099999999908,-6828.099999999908
2025-06-12,-4488.7499999999145,-4488.7499999999145,724.6500000001524,-2929.799999999956
2025-06-13,-6499.899999999958,-6499.899999999958,-7552.399999999992,-7910.099999999957
2025-06-16,5940.750000000002,-1126.5000000000346,9647.649999999929,-1111.5000000000346
2025-06-17,-1135.8500000000513,-3054.700000000059,-521.7000000000589,-776.2000000000407
2025-06-18,-5369.89999999994,-5369.89999999994,-4228.1500000001,-6409.400000000071
2025-06-19,-965.7999999999683,-2360.600000000049,3.9000000001087756,-1301.4999999999363
2025-06-20,2342.2000000002063,-1022.8999999998268,-144.5500000000302,-2309.100000000026
2025-06-23,-1840.9500000000444,-2938.90000000004,-6842.350000000082,-7546.1000000000895
2025-06-24,-832.5000000000309,-3543.0000000000528,-723.150000000016,-4246.1500000000215
2025-06-25,-2051.24999999996,-3092.299999999972,-3265.949999999888,-3879.7999999999065
2025-06-26,-3937.6999999998825,-3937.6999999998825,-4356.999999999975,-4902.049999999937
2025-06-27,4066.849999999862,-769.5000000000182,6580.549999999854,-787.6000000000313
2025-06-30,3093.4499999999607,-2238.800000000003,2738.949999999837,-3223.300000000116
2025-07-01,7225.350000000002,-120.0,7788.14999999981,-105.0
2025-07-02,-5777.899999999978,-5777.899999999978,-3957.250000000071,-5294.500000000036
2025-07-03,-1234.6500000000797,-1700.8000000000084,-2440.799999999994,-3459.4999999999254
2025-07-04,-1684.300000000099,-2089.350000000053,-1825.0500000001502,-2616.150000000098
2025-07-07,-1668.8000000000338,-2760.400000000021,-1680.9499999999423,-3236.199999999937
2025-07-08,10.650000000008731,-3360.200000000133,-4409.750000000171,-4409.750000000171
2025-07-09,-2547.6500000000906,-3278.900000000107,-2803.250000000211,-2895.90000000023
2025-07-10,-1814.949999999886,-2264.0999999998658,-3986.04999999989,-4218.299999999883
2025-07-11,-496.5999999997857,-1111.7999999998847,2375.5000000002547,-2244.9000000000106
2025-07-14,-2749.700000000053,-3735.899999999941,-5630.199999999997,-5630.199999999997
2025-07-15,204.6500000000142,-1113.399999999996,325.4499999999516,-1376.9000000000433
2025-07-16,-2797.300000000201,-2797.300000000201,-2750.850000000132,-3245.200000000179
2025-07-17,2308.54999999999,-1208.699999999997,3886.94999999993,-1543.2999999999938
2025-07-18,-1064.2500000001073,-2821.900000000078,-2199.649999999978,-3034.949999999926
2025-07-21,2195.450000000141,-658.1999999999571,5395.550000000201,-1837.2999999999463
