param,side,entry_time,exit_time,entry_price,exit_price,range_pct,exit_reason,price_pnl,pnl,swap,net,year,date
h00_r30_t1,1,1772065800000000000,1772116235000000000,5186.4555,5155.5215,0.5965722839583054,sl,-30.934000000000196,-62.00800000000039,0.0,-62.00800000000039,2026,2026-02-26
h01_r60_t3,-1,1772073240000000000,1772079135000000000,5178.6095000000005,5198.4375,0.38190364560234463,sl,-19.82799999999952,-39.79599999999904,0.0,-39.79599999999904,2026,2026-02-26
h02_r15_t3,-1,1772072105000000000,1772078830000000000,5182.4725,5195.8544999999995,0.2581835872064574,sl,-13.381999999999607,-26.903999999999215,0.0,-26.903999999999215,2026,2026-02-26
h04_r30_t3,-1,1772081345000000000,1772082825000000000,5191.6685,5199.5625,0.15196964226396711,sl,-7.894000000000233,-15.928000000000466,0.0,-15.928000000000466,2026,2026-02-26
h05_r60_t2,-1,1772089355000000000,1772116230000000000,5189.853499999999,5157.533499999998,0.3108796827334474,tp,32.32000000000153,64.50000000000306,0.0,64.50000000000306,2026,2026-02-26
h06_r60_t3,-1,1772089355000000000,1772106860000000000,5190.4265,5162.226499999998,0.1810094337688031,tp,28.200000000001637,56.260000000003274,0.0,56.260000000003274,2026,2026-02-26
h13_r30_t3,-1,1772112635000000000,1772120895000000000,5168.344499999999,5185.8495,0.33825129394889625,sl,-17.50500000000102,-35.15000000000204,0.0,-35.15000000000204,2026,2026-02-26
h14_r15_t2,1,1772115925000000000,1772116230000000000,5170.3585,5160.2435000000005,0.19579208641873203,sl,-10.114999999999782,-20.369999999999564,0.0,-20.369999999999564,2026,2026-02-26
h00_r30_t1,-1,1772152560000000000,1772157600000000000,5178.967500000001,5195.217500000001,0.31320407674135925,sl,-16.25,-32.64,0.0,-32.64,2026,2026-02-27
h01_r60_t3,1,1772157600000000000,1772228755000000000,5194.6095000000005,5277.571500000002,0.5324265870202478,tp,82.96200000000135,165.78400000000272,0.0,165.78400000000272,2026,2026-02-27
h02_r15_t3,-1,1772158780000000000,1772171910000000000,5191.8405,5200.0365,0.1577774858111418,sl,-8.195999999999913,-16.531999999999826,0.0,-16.531999999999826,2026,2026-02-27
h04_r30_t3,-1,1772168365000000000,1772169865000000000,5182.003500000001,5189.0375,0.1356031404638528,sl,-7.033999999999651,-14.207999999999302,0.0,-14.207999999999302,2026,2026-02-27
h05_r60_t2,-1,1772176490000000000,1772197645000000000,5181.3765,5200.7725,0.3731663101776557,sl,-19.39599999999973,-38.93199999999946,0.0,-38.93199999999946,2026,2026-02-27
h06_r60_t3,-1,1772175600000000000,1772197645000000000,5185.1205,5199.1715,0.27094399908985467,sl,-14.051000000000386,-28.242000000000772,0.0,-28.242000000000772,2026,2026-02-27
h13_r30_t3,1,1772207545000000000,1772229180000000000,5240.7545,5278.857,1.0283645031152278,forced_close,38.102499999999964,76.06499999999993,0.0,76.06499999999993,2026,2026-02-27
h14_r15_t2,1,1772202060000000000,1772203275000000000,5230.3355,5217.4295,0.24693462689882556,sl,-12.905999999999949,-25.9519999999999,0.0,-25.9519999999999,2026,2026-02-27
h00_r30_t1,-1,1772412780000000000,1772414975000000000,5349.1695,5309.779500000001,0.7342421047304264,tp,39.38999999999942,78.63999999999884,0.0,78.63999999999884,2026,2026-03-02
h01_r60_t3,1,1772419410000000000,1772467220000000000,5347.779500000001,5303.1715,0.837676592950266,sl,-44.608000000000175,-89.35600000000035,0.0,-89.35600000000035,2026,2026-03-02
h02_r15_t3,1,1772418160000000000,1772435260000000000,5335.958500000001,5392.799500000001,0.3556173015784704,tp,56.84100000000035,113.5420000000007,0.0,113.5420000000007,2026,2026-03-02
h04_r30_t3,-1,1772426180000000000,1772431555000000000,5355.6625,5367.3295,0.21753375786629087,sl,-11.666999999999462,-23.473999999998924,0.0,-23.473999999998924,2026,2026-03-02
h05_r60_t2,1,1772431200000000000,1772435885000000000,5366.5625,5418.3944999999985,0.4829576028411544,tp,51.831999999998516,103.52399999999703,0.0,103.52399999999703,2026,2026-03-02
h06_r60_t3,1,1772434940000000000,1772460615000000000,5390.0285,5363.7474999999995,0.4877713345207464,sl,-26.28100000000086,-52.70200000000172,0.0,-52.70200000000172,2026,2026-03-02
h13_r30_t3,1,1772458245000000000,1772460285000000000,5410.371499999999,5381.9365,0.5263859885620404,sl,-28.43499999999949,-57.00999999999898,0.0,-57.00999999999898,2026,2026-03-02
h14_r15_t2,-1,1772461100000000000,1772467220000000000,5363.202499999999,5298.658499999998,0.6003836673392429,tp,64.54400000000169,128.9480000000034,0.0,128.9480000000034,2026,2026-03-02
h00_r30_t1,1,1772497830000000000,1772503220000000000,5359.4055,5337.306500000001,0.41245941360360633,sl,-22.09899999999925,-44.3379999999985,0.0,-44.3379999999985,2026,2026-03-03
h01_r60_t3,-1,1772503200000000000,1772536070000000000,5338.0285,5212.247500000001,0.7852213502222568,tp,125.78099999999904,251.4219999999981,0.0,251.4219999999981,2026,2026-03-03
h02_r15_t3,1,1772504835000000000,1772516915000000000,5357.2525000000005,5332.5895,0.4609871644896981,sl,-24.663000000000466,-49.46600000000093,0.0,-49.46600000000093,2026,2026-03-03
h04_r30_t3,1,1772512320000000000,1772514000000000000,5375.7875,5359.6314999999995,0.300729066955325,sl,-16.15600000000086,-32.45200000000172,0.0,-32.45200000000172,2026,2026-03-03
h05_r60_t2,-1,1772518120000000000,1772536150000000000,5305.1575,5181.3015000000005,1.1642699159237597,tp,123.85599999999977,247.57199999999955,0.0,247.57199999999955,2026,2026-03-03
h06_r60_t3,1,1772523510000000000,1772529910000000000,5323.3724999999995,5278.9955,0.8356019098880344,sl,-44.3769999999995,-88.893999999999,0.0,-88.893999999999,2026,2026-03-03
h13_r30_t3,-1,1772545545000000000,1772574780000000000,5146.306500000001,5083.535,1.5121826731345724,forced_close,62.77150000000074,125.40300000000148,0.0,125.40300000000148,2026,2026-03-03
h14_r15_t2,-1,1772547435000000000,1772548895000000000,5150.0785,5098.4905,0.49939105616832596,tp,51.58799999999974,103.03599999999948,0.0,103.03599999999948,2026,2026-03-03
h00_r30_t1,1,1772584215000000000,1772586090000000000,5129.0015,5152.0815,0.4503250759752826,tp,23.079999999999927,46.019999999999854,0.0,46.019999999999854,2026,2026-03-04
h01_r60_t3,1,1772590155000000000,1772604375000000000,5178.8045,5138.4365,0.7800887977119172,sl,-40.36800000000039,-80.87600000000079,0.0,-80.87600000000079,2026,2026-03-04
h02_r15_t3,-1,1772591710000000000,1772618925000000000,5168.5064999999995,5191.1565,0.4363856211612259,sl,-22.650000000000546,-45.44000000000109,0.0,-45.44000000000109,2026,2026-03-04
h04_r30_t3,-1,1772598680000000000,1772614080000000000,5163.1085,5180.8265,0.34284417279554996,sl,-17.717999999999847,-35.575999999999695,0.0,-35.575999999999695,2026,2026-03-04
h05_r60_t2,-1,1772604070000000000,1772607740000000000,5152.2315,5168.0405,0.3063667958004008,sl,-15.809000000000196,-31.758000000000393,0.0,-31.758000000000393,2026,2026-03-04
h06_r60_t3,1,1772607605000000000,1772645035000000000,5161.074500000001,5121.720499999999,0.7625524249948226,sl,-39.35400000000118,-78.84800000000236,0.0,-78.84800000000236,2026,2026-03-04
h13_r30_t3,-1,1772632770000000000,1772661180000000000,5170.970499999999,5138.623,0.4895255796325442,forced_close,32.347499999999854,64.55499999999971,0.0,64.55499999999971,2026,2026-03-04
h14_r15_t2,-1,1772633700000000000,1772634720000000000,5163.8904999999995,5180.8505000000005,0.328337829425612,sl,-16.960000000000946,-34.06000000000189,0.0,-34.06000000000189,2026,2026-03-04
h00_r30_t1,1,1772672785000000000,1772689860000000000,5180.0165,5159.7525000000005,0.39166922042186997,sl,-20.263999999999214,-40.66799999999843,0.0,-40.66799999999843,2026,2026-03-05
h01_r60_t3,1,1772677405000000000,1772686380000000000,5186.7485,5167.3285,0.3754149596675407,sl,-19.420000000000073,-38.980000000000146,0.0,-38.980000000000146,2026,2026-03-05
h02_r15_t3,1,1772676960000000000,1772686070000000000,5181.9625,5171.8655,0.1949613393614191,sl,-10.096999999999753,-20.333999999999506,0.0,-20.333999999999506,2026,2026-03-05
h04_r30_t3,-1,1772685735000000000,1772690930000000000,5174.9805,5139.0014999999985,0.23159866710555244,tp,35.97900000000118,71.81800000000236,0.0,71.81800000000236,2026,2026-03-05
h05_r60_t2,-1,1772690400000000000,1772701720000000000,5148.4025,5176.9755000000005,0.5549355185825191,sl,-28.57300000000032,-57.28600000000064,0.0,-57.28600000000064,2026,2026-03-05
h06_r60_t3,1,1772694050000000000,1772716855000000000,5168.898499999999,5120.7564999999995,0.9316169510473399,sl,-48.141999999999825,-96.42399999999965,0.0,-96.42399999999965,2026,2026-03-05
h13_r30_t3,-1,1772723315000000000,1772747580000000000,5081.699500000001,5082.886,1.611552348262134,forced_close,-1.1864999999997963,-2.5129999999995927,0.0,-2.5129999999995927,2026,2026-03-05
h14_r15_t2,-1,1772720120000000000,1772723325000000000,5110.0645,5070.0285,0.3914915803788369,tp,40.03600000000006,79.93200000000012,0.0,79.93200000000012,2026,2026-03-05
h00_r30_t1,-1,1772758820000000000,1772760785000000000,5074.157499999999,5092.529500000001,0.36088924666140043,sl,-18.372000000001208,-36.884000000002416,0.0,-36.884000000002416,2026,2026-03-06
h02_r15_t3,-1,1772764730000000000,1772767190000000000,5125.681500000001,5138.470499999999,0.24928247716102264,sl,-12.78899999999885,-25.7179999999977,0.0,-25.7179999999977,2026,2026-03-06
h04_r30_t3,-1,1772773075000000000,1772785720000000000,5127.6295,5100.653500000002,0.1752856408369398,tp,26.97599999999784,53.81199999999568,0.0,53.81199999999568,2026,2026-03-06
h05_r60_t2,-1,1772776870000000000,1772791295000000000,5114.2445,5082.204499999999,0.31303910458311013,tp,32.04000000000087,63.940000000001746,0.0,63.940000000001746,2026,2026-03-06
h06_r60_t3,-1,1772780825000000000,1772784330000000000,5109.3415,5123.1325,0.2695820071456386,sl,-13.790999999999258,-27.721999999998516,0.0,-27.721999999998516,2026,2026-03-06
h13_r30_t3,1,1772803800000000000,1772809610000000000,5088.9395,5159.370500000003,0.46180599643590436,tp,70.43100000000231,140.72200000000464,0.0,140.72200000000464,2026,2026-03-06
h14_r15_t2,1,1772807025000000000,1772809320000000000,5102.9745,5146.978500000001,0.43164896004128556,tp,44.004000000000815,87.86800000000163,0.0,87.86800000000163,2026,2026-03-06
h00_r30_t1,-1,1773018015000000000,1773018955000000000,5028.4425,5080.6425,1.034490651583446,sl,-52.19999999999982,-104.53999999999964,0.0,-104.53999999999964,2026,2026-03-09
h01_r60_t3,1,1773022210000000000,1773089580000000000,5087.9205,5139.147,1.4460759250013557,forced_close,51.22649999999976,102.31299999999952,0.0,102.31299999999952,2026,2026-03-09
h02_r15_t3,1,1773025065000000000,1773089580000000000,5095.5355,5139.147,0.7851708703570024,forced_close,43.61149999999998,87.08299999999996,0.0,87.08299999999996,2026,2026-03-09
h04_r30_t3,-1,1773031550000000000,1773032740000000000,5087.2455,5097.3945,0.19942009210972847,sl,-10.149000000000342,-20.438000000000685,0.0,-20.438000000000685,2026,2026-03-09
h06_r60_t3,-1,1773039600000000000,1773083990000000000,5097.1005000000005,5133.922500000001,0.722296637315072,sl,-36.822000000000116,-73.78400000000023,0.0,-73.78400000000023,2026,2026-03-09
h13_r30_t3,1,1773063025000000000,1773063670000000000,5099.1805,5084.4715,0.28868893438574394,sl,-14.709000000000742,-29.558000000001485,0.0,-29.558000000001485,2026,2026-03-09
h14_r15_t2,1,1773066715000000000,1773086435000000000,5088.6025,5144.5685,0.5517961870002075,tp,55.96600000000035,111.7920000000007,0.0,111.7920000000007,2026,2026-03-09
h00_r30_t1,-1,1773102710000000000,1773104485000000000,5129.0015,5141.6385,0.24629430561600948,sl,-12.636999999999716,-25.413999999999433,0.0,-25.413999999999433,2026,2026-03-10
h01_r60_t3,1,1773108005000000000,1773175980000000000,5186.1965,5193.897,1.1850683623918006,forced_close,7.70049999999992,15.26099999999984,0.0,15.26099999999984,2026,2026-03-10
h02_r15_t3,-1,1773111375000000000,1773131450000000000,5170.619500000001,5187.3495,0.3232721869691853,sl,-16.729999999999563,-33.59999999999913,0.0,-33.59999999999913,2026,2026-03-10
h04_r30_t3,1,1773118880000000000,1773148230000000000,5166.582,5202.234,0.23019036514634328,tp,35.652000000000044,71.16400000000009,0.0,71.16400000000009,2026,2026-03-10
h05_r60_t2,1,1773122520000000000,1773127335000000000,5179.3235,5163.693499999999,0.3018604394705801,sl,-15.630000000001019,-31.400000000002038,0.0,-31.400000000002038,2026,2026-03-10
h06_r60_t3,-1,1773126170000000000,1773129585000000000,5171.916499999999,5181.2045,0.1794747754174139,sl,-9.288000000000466,-18.716000000000932,0.0,-18.716000000000932,2026,2026-03-10
h13_r30_t3,-1,1773151855000000000,1773156690000000000,5186.1595,5228.9575,0.8196472498544376,sl,-42.798000000000684,-85.73600000000137,0.0,-85.73600000000137,2026,2026-03-10
h14_r15_t2,1,1773152200000000000,1773166715000000000,5208.6875,5185.2805,0.45053945107406906,sl,-23.407000000000153,-46.954000000000306,0.0,-46.954000000000306,2026,2026-03-10
